,Disease,Targ,KwMult,KwNorm
0,Боль мышечная,"Болезни мышц - в большинстве случаев сопровождаются мышечной болью, например, при воспалении мышц (миозите). Воспаления могут быть вызваны бактериями, вирусами, паразитами, грибками, а также проявляться при некоторых аутоиммунных заболеваниях. Боль проявляется при движении или даже при прикосновении к пораженному участку. Другие признаки мышечного воспаления - это ее уплотнение, мышечная слабость. Боль (миалгия) может быть различной интенсивности и различного характера (стреляющая, рвущая, ноющая, ломящая). Боль может вызываться и ревматизмом, а также другими заболеваниями. При ревматизме обычно болят мышцы шеи и спины. Для многих заболеваний мышц характерны мышечная слабость, быстрая утомляемость - все это также способствует возникновению болевого синдрома.","{'такж': 0.021907525446278497, 'ил': 0.007302508482092833, 'быт': 0.054768813615696244, 'болезн': 0.054768813615696244, 'заболеван': 0.018256271205232082, 'эт': 0.036512542410464165, 'случа': 0.036512542410464165, 'моч': 0.054768813615696244, 'друг': 0.054768813615696244, 'некотор': 0.10953762723139249, 'спин': 0.054768813615696244, 'например': 0.054768813615696244, 'мног': 0.054768813615696244, 'сопровожда': 0.10953762723139249}","{'такж': 0.030303030303030304, 'ил': 0.010101010101010102, 'быт': 0.07575757575757576, 'болезн': 0.07575757575757576, 'заболеван': 0.025252525252525256, 'эт': 0.05050505050505051, 'случа': 0.05050505050505051, 'моч': 0.07575757575757576, 'друг': 0.07575757575757576, 'некотор': 0.15151515151515152, 'спин': 0.07575757575757576, 'например': 0.07575757575757576, 'мног': 0.07575757575757576, 'сопровожда': 0.15151515151515152}"
1,Дивертикул Меккеля,Перекрут подвздошной кишки с развитием кишечной непроходимости.,{},{}
2,Боль головная,"Голова болит при повышенном кровяном давлении, почечной недостаточности, также болезнях почек, желудка и печени, лихорадке, вызванной инфекционными заболеваниями.","{'такж': 0.021907525446278497, 'болезн': 0.054768813615696244, 'заболеван': 0.018256271205232082}","{'такж': 0.23076923076923075, 'болезн': 0.5769230769230769, 'заболеван': 0.19230769230769232}"
5,Опухоли костей доброкачественные,"Остеома напоминает остеобластому, но ее диаметр не превышает 2 см. Чаще встречается у детей. Локализуется в трубчатых костях.","{'част': 0.036512542410464165, 'встреча': 0.10953762723139249, 'напомина': 0.054768813615696244, 'ребенок': 0.10953762723139249, '2': 0.018256271205232082}","{'част': 0.11111111111111112, 'встреча': 0.3333333333333333, 'напомина': 0.16666666666666666, 'ребенок': 0.3333333333333333, '2': 0.05555555555555556}"
6,Рак яичников,"Кистозная аденома - это наиболее часто встречаемая опухоль яичников, иногда достигающая размера куриного яйца, а иногда и больше: она даже может заполнить всю брюшную полость и сдвинуть другие органы брюшной полости. Вначале развитие опухоли протекает бессимптомно. Первые симптомы - увеличение объема живота без увеличения веса. Если кистозная аденома очень большая, то появляется ощущение полноты и давления в области желудка и печени. Поэтому у пациенток не возникает мысли о возможности гинекологического заболевания. При кистозной аденоме в организме женщины снижается содержание белков.","{'област': 0.012170847470154721, 'част': 0.036512542410464165, 'симпт': 0.10953762723139249, 'заболеван': 0.018256271205232082, 'эт': 0.036512542410464165, 'появля': 0.054768813615696244, 'встреча': 0.10953762723139249, 'иногд': 0.054768813615696244, 'гинекологическ': 0.10953762723139249, 'моч': 0.054768813615696244, 'друг': 0.054768813615696244, 'возможн': 0.10953762723139249, 'организм': 0.054768813615696244, 'опухол': 0.10953762723139249, 'орга': 0.10953762723139249, 'есл': 0.10953762723139249}","{'област': 0.010638297872340427, 'част': 0.03191489361702128, 'симпт': 0.09574468085106384, 'заболеван': 0.01595744680851064, 'эт': 0.03191489361702128, 'появля': 0.04787234042553192, 'встреча': 0.09574468085106384, 'иногд': 0.04787234042553192, 'гинекологическ': 0.09574468085106384, 'моч': 0.04787234042553192, 'друг': 0.04787234042553192, 'возможн': 0.09574468085106384, 'организм': 0.04787234042553192, 'опухол': 0.09574468085106384, 'орга': 0.09574468085106384, 'есл': 0.09574468085106384}"
7,Эндемический зоб,"Во многих местностях ощутим недостаток йода. Его мало в воздухе, питьевой воде, продуктах. В таком случае в рацион питания нужно включать морепродукты.","{'питан': 0.054768813615696244, 'случа': 0.036512542410464165, 'мног': 0.054768813615696244}","{'питан': 0.375, 'случа': 0.25, 'мног': 0.375}"
9,Асцит,Воспаление брюшины,{},{}
10,Цирроз печени,Моча коричневого цвета.,"{'цвет': 0.10953762723139249, 'моч': 0.054768813615696244}","{'цвет': 0.6666666666666666, 'моч': 0.3333333333333333}"
11,Сальмонеллез,Лихорадка.,{},{}
12,Аллергические кожные реакции,"При высыпаниях на коже большой площади можно подозревать аллергию к лекарствам, стиральным средствам, краскам одежды и волокнам ткани. Аллергию кожи под мышками вызывают дезодоранты, средства для удаления волос; кожи спины - застегивающиеся на спине молнии и застежки бюстгальтеров; области поясницы - пояса, резинки нижнего белья, стиральные средства.","{'област': 0.012170847470154721, 'лекарств': 0.10953762723139249, 'спин': 0.054768813615696244, 'волокн': 0.10953762723139249}","{'област': 0.0425531914893617, 'лекарств': 0.3829787234042553, 'спин': 0.19148936170212766, 'волокн': 0.3829787234042553}"
13,Желтуха,"При возникновении желтухи надо обратиться к врачу, потому что это может являться симптомом серьезного заболевания. Хотя это явление у детей и подростков не всегда свидетельствует о наличии опасной болезни и может быть связано с адаптацией организма к новым условиям жизни.","{'врач': 0.0028825691376682234, 'явля': 0.013692203403924061, 'жизн': 0.054768813615696244, 'связыва': 0.054768813615696244, 'быт': 0.054768813615696244, 'всегд': 0.10953762723139249, 'симпт': 0.10953762723139249, 'болезн': 0.054768813615696244, 'заболеван': 0.018256271205232082, 'эт': 0.036512542410464165, 'ребенок': 0.10953762723139249, 'моч': 0.054768813615696244, 'организм': 0.054768813615696244}","{'врач': 0.003956478733926804, 'явля': 0.018793273986152322, 'жизн': 0.07517309594460929, 'связыва': 0.07517309594460929, 'быт': 0.07517309594460929, 'всегд': 0.15034619188921858, 'симпт': 0.15034619188921858, 'болезн': 0.07517309594460929, 'заболеван': 0.0250576986482031, 'эт': 0.0501153972964062, 'ребенок': 0.15034619188921858, 'моч': 0.07517309594460929, 'организм': 0.07517309594460929}"
14,Аневризма,"Как помочь себе? Заниматься самолечением в данном случае категорически нельзя. Однако соблюдая здоровый образ жизни, можно намного уменьшить вероятность проявления атеросклероза.","{'занима': 0.013692203403924061, 'здоров': 0.036512542410464165, 'образ': 0.10953762723139249, 'жизн': 0.054768813615696244, 'помога': 0.10953762723139249, 'однак': 0.10953762723139249, 'случа': 0.036512542410464165, 'дан': 0.10953762723139249}","{'занима': 0.023622047244094488, 'здоров': 0.06299212598425197, 'образ': 0.1889763779527559, 'жизн': 0.09448818897637795, 'помога': 0.1889763779527559, 'однак': 0.1889763779527559, 'случа': 0.06299212598425197, 'дан': 0.1889763779527559}"
15,Контрактура Дюпюитрена,Пациенту все труднее разогнуть пораженный палец.,{'пациент': 0.015648232461627498},{'пациент': 1.0}
16,Спондилез,"При спондилолистезе тело и дуга позвонка смещаются кпереди, а задняя часть позвонка вместе с остистым отростком остается на месте, т.е. образуется щель. Обычно наблюдается спондилолистез пятого, реже третьего или четвертого поясничных позвонков. Спондилолистез шейного отдела позвоночника встречается крайне редко.","{'ил': 0.007302508482092833, 'част': 0.036512542410464165, 'встреча': 0.10953762723139249, 'тел': 0.054768813615696244}","{'ил': 0.03508771929824561, 'част': 0.1754385964912281, 'встреча': 0.5263157894736842, 'тел': 0.2631578947368421}"
18,Эмболия,"Кровяные сгустки (до тех пор, пока они не оторвались от стенок кровеносных сосудов и не движутся с током крови, называются тромбами) закупоривают артерию. Оторвавшиеся участки тромба называются эмболами. Чаще всего встречается эмболия легких, при которой переносимый с током крови эмбол застревает в легочной артерии. Эмбол, застрявший в другой артерии, вызывает системную эмболию. В таком случае источником образования эмболов обычно является сгусток крови внутри сердца, который часто образуется после перенесенного инфаркта миокарда. Клинические проявления патологии зависят от места застревания эмбола. Образованию тромбов способствует повреждение сосудистой стенки (атеросклероз, септическое поражение клапанов сердца), замедление кровотока и изменения в системе свертывания крови.","{'явля': 0.013692203403924061, 'образован': 0.006443389837140734, 'котор': 0.018256271205232082, 'част': 0.036512542410464165, 'встреча': 0.10953762723139249, 'случа': 0.036512542410464165, 'патолог': 0.054768813615696244, 'друг': 0.054768813615696244, 'называ': 0.10953762723139249, 'систем': 0.036512542410464165, 'изменен': 0.10953762723139249}","{'явля': 0.023362345396243704, 'образован': 0.010994044892349977, 'котор': 0.031149793861658275, 'част': 0.06229958772331655, 'встреча': 0.18689876316994963, 'случа': 0.06229958772331655, 'патолог': 0.09344938158497482, 'друг': 0.09344938158497482, 'называ': 0.18689876316994963, 'систем': 0.06229958772331655, 'изменен': 0.18689876316994963}"
19,Трихомониаз,Жжение во влагалище и при мочеиспускании.,{},{}
20,Глистяные заболевания,Симптомы глистов,{'симпт': 0.10953762723139249},{'симпт': 1.0}
21,Понос,"При диарее взрослые далеко не всегда обращаются к врачу. Однако если понос начался у ребенка, то вести себя следует более осторожно, т.к. резистентность его организма ниже. Кроме того, понос у детей может быть симптомом тяжелой болезни. Необходимо незамедлительно обратиться к врачу, если:","{'врач': 0.0028825691376682234, 'необходим': 0.054768813615696244, 'следова': 0.10953762723139249, 'быт': 0.054768813615696244, 'всегд': 0.10953762723139249, 'симпт': 0.10953762723139249, 'болезн': 0.054768813615696244, 'однак': 0.10953762723139249, 'начина': 0.10953762723139249, 'ребенок': 0.10953762723139249, 'ег': 0.10953762723139249, 'моч': 0.054768813615696244, 'организм': 0.054768813615696244, 'низк': 0.10953762723139249, 'есл': 0.10953762723139249, 'кром': 0.10953762723139249}","{'врач': 0.0021008403361344533, 'необходим': 0.03991596638655461, 'следова': 0.07983193277310922, 'быт': 0.03991596638655461, 'всегд': 0.07983193277310922, 'симпт': 0.07983193277310922, 'болезн': 0.03991596638655461, 'однак': 0.07983193277310922, 'начина': 0.07983193277310922, 'ребенок': 0.07983193277310922, 'ег': 0.07983193277310922, 'моч': 0.03991596638655461, 'организм': 0.03991596638655461, 'низк': 0.07983193277310922, 'есл': 0.07983193277310922, 'кром': 0.07983193277310922}"
23,Эмболия,"Риску возникновения эмболии чаще всего подвергаются женщины, употребляющие гормональные контрацептивные пилюли, а также курящие женщины. У курильщиц нередко происходит закупорка вен нижних конечностей.","{'такж': 0.021907525446278497, 'част': 0.036512542410464165, 'происход': 0.10953762723139249}","{'такж': 0.13043478260869565, 'част': 0.21739130434782608, 'происход': 0.6521739130434783}"
24,Облысение,Постепенно прогрессирующее выпадение волос.,{},{}
25,Нарушение метаболизма при опухлевых заболиваниях,"Обычно злокачественные новообразования, возникшие из плаценты, а также раковые опухоли бронхов и яичек начинают вырабатывать половые гормоны.","{'такж': 0.021907525446278497, 'начина': 0.10953762723139249, 'опухол': 0.10953762723139249}","{'такж': 0.09090909090909091, 'начина': 0.45454545454545453, 'опухол': 0.45454545454545453}"
27,Плечелопаточный периартрит,Симптомы,{'симпт': 0.10953762723139249},{'симпт': 1.0}
29,Диафрагмальная грыжа,"Диафрагма (от лат. diaphragmа) - это тонкая, изогнутая выпуклостью кверху пластинка, разделяющая грудную и брюшную полость. Она прикреплена к грудине, реберным дугам и позвонкам поясничного отдела позвоночника, а по середине находится седловидное сухожильное растяжение, покрытое с обеих сторон мышцами - куполами диафрагмы. Диафрагма - важная часть дыхательных мышц. Она является также частью мышц брюшного пресса. Рядом с позвоночником через диафрагму перпендикулярно проходят пищевод, кровеносные сосуды и нервные волокна.","{'явля': 0.013692203403924061, 'такж': 0.021907525446278497, 'лат': 0.027384406807848122, 'част': 0.036512542410464165, 'эт': 0.036512542410464165, 'проход': 0.036512542410464165, 'важн': 0.10953762723139249, 'нервн': 0.036512542410464165, 'волокн': 0.10953762723139249}","{'явля': 0.031982942430703626, 'такж': 0.0511727078891258, 'лат': 0.06396588486140725, 'част': 0.08528784648187633, 'эт': 0.08528784648187633, 'проход': 0.08528784648187633, 'важн': 0.255863539445629, 'нервн': 0.08528784648187633, 'волокн': 0.255863539445629}"
31,Глистяные заболевания,"Почти все виды ленточного червя развиваются в организме промежуточного хозяина. В организм человека они попадают вместе с зараженными продуктами: мясом, фруктами, овощами, питьевой водой. Яйца ленточного червя могут находиться в шерсти домашних животных, при физическом контакте они могут попасть в организм человека. Бычий цепень вырастает до 4-12 м длиной. Его последний хозяин - человеческий организм, а промежуточные - крупный рогатый скот. Человек заражается при употреблении плохо обработанного мяса. При заражении первоначально симптомы отсутствуют, однако позже появляются колики, расстройство стула, падение веса, развивается повышенная нервозность, утомляемость, постоянно хочется есть. Свиной цепень опаснее бычьего цепня. Поскольку нередко личинки локализуются в глазах, спинном и головном мозге, возникают потеря зрения, сильнейшие головные боли, психические расстройства, судороги, паралич. Нередко это может угрожать жизни человека. Широкий лентец - длиной до 15 м. Человек заражается, употребляя плохо проваренную или прожаренную рыбу. Признаки заболевания - слабость, головокружение, слюнотечение, тошнота, рвота, боль в животе, поносы или чередование поноса и запора - часто слабо выражены. Характерный признак - появление ярко-красных болезненных пятен и трещин на языке.","{'жизн': 0.054768813615696244, 'ил': 0.007302508482092833, 'быт': 0.054768813615696244, 'част': 0.036512542410464165, 'животн': 0.10953762723139249, 'психическ': 0.054768813615696244, 'расстройств': 0.10953762723139249, 'симпт': 0.10953762723139249, 'физическ': 0.10953762723139249, 'заболеван': 0.018256271205232082, 'эт': 0.036512542410464165, 'появля': 0.054768813615696244, 'головн': 0.027384406807848122, 'мозг': 0.027384406807848122, 'однак': 0.10953762723139249, 'попада': 0.10953762723139249, 'вид': 0.10953762723139249, 'выража': 0.10953762723139249, 'появлен': 0.10953762723139249, 'ег': 0.10953762723139249, 'моч': 0.054768813615696244, 'человек': 0.027384406807848122, 'организм': 0.054768813615696244, 'угрожа': 0.10953762723139249, '4': 0.054768813615696244, 'спин': 0.054768813615696244}","{'жизн': 0.030030030030030023, 'ил': 0.004004004004004003, 'быт': 0.030030030030030023, 'част': 0.020020020020020016, 'животн': 0.060060060060060046, 'психическ': 0.030030030030030023, 'расстройств': 0.060060060060060046, 'симпт': 0.060060060060060046, 'физическ': 0.060060060060060046, 'заболеван': 0.010010010010010008, 'эт': 0.020020020020020016, 'появля': 0.030030030030030023, 'головн': 0.015015015015015011, 'мозг': 0.015015015015015011, 'однак': 0.060060060060060046, 'попада': 0.060060060060060046, 'вид': 0.060060060060060046, 'выража': 0.060060060060060046, 'появлен': 0.060060060060060046, 'ег': 0.060060060060060046, 'моч': 0.030030030030030023, 'человек': 0.015015015015015011, 'организм': 0.030030030030030023, 'угрожа': 0.060060060060060046, '4': 0.030030030030030023, 'спин': 0.030030030030030023}"
32,Ревматические болезни,Отсутствие симптомов болезни и внезапное обострение с ухудшением общего самочувствия больного.,"{'симпт': 0.10953762723139249, 'болезн': 0.054768813615696244, 'больн': 0.027384406807848122, 'общ': 0.018256271205232082}","{'симпт': 0.5217391304347826, 'болезн': 0.2608695652173913, 'больн': 0.13043478260869565, 'общ': 0.08695652173913045}"
33,Запор,"Хроническая форма встречается значительно чаще, чем острая. В течение жизни от длительных запоров страдают около 40% всех мужчин и 50% женщин. Приблизительно четверть всех пациентов постоянно принимают слабительные лекарства. При хронических запорах опорожнение происходит каждый второй или третий день, иногда еще реже. Дефекация затруднена, пациенту приходится тужиться, выделяемое количество кала мало, он твердый, сухой, рассыпчатый. У таких пациентов возникает постоянное чувство полноты желудка, а также пропадает аппетит.","{'такж': 0.021907525446278497, 'пациент': 0.015648232461627498, 'жизн': 0.054768813615696244, 'ил': 0.007302508482092833, 'част': 0.036512542410464165, 'встреча': 0.10953762723139249, 'иногд': 0.054768813615696244, 'течен': 0.10953762723139249, 'происход': 0.10953762723139249, 'лекарств': 0.10953762723139249}","{'такж': 0.03482587064676617, 'пациент': 0.024875621890547265, 'жизн': 0.08706467661691543, 'ил': 0.011608623548922057, 'част': 0.05804311774461029, 'встреча': 0.17412935323383086, 'иногд': 0.08706467661691543, 'течен': 0.17412935323383086, 'происход': 0.17412935323383086, 'лекарств': 0.17412935323383086}"
34,Рак печени,"Печень - очень важный, но не очень чувствительный орган. Поэтому часто пациенты не ощущают боли. По этой причине рак печени, как и другие ее заболевания, диагностируется слишком поздно. Вероятность излечения этого вида рака очень мала.","{'пациент': 0.015648232461627498, 'част': 0.036512542410464165, 'заболеван': 0.018256271205232082, 'вид': 0.10953762723139249, 'друг': 0.054768813615696244, 'важн': 0.10953762723139249, 'орга': 0.10953762723139249, 'причин': 0.10953762723139249}","{'пациент': 0.027777777777777776, 'част': 0.06481481481481483, 'заболеван': 0.03240740740740741, 'вид': 0.19444444444444445, 'друг': 0.09722222222222222, 'важн': 0.19444444444444445, 'орга': 0.19444444444444445, 'причин': 0.19444444444444445}"
37,Трофическая язва голени,Течение болезни зависит от вызвавшей ее причины:,"{'болезн': 0.054768813615696244, 'течен': 0.10953762723139249, 'причин': 0.10953762723139249}","{'болезн': 0.2, 'течен': 0.4, 'причин': 0.4}"
38,Язва 12-перстной кишки,"В редких случаях происходит самопроизвольное рубцевание язвы, однако при отсутствии лечения повышается вероятность ухудшения состояния больного. В худшем случае язва может охватить не только слизистую оболочку кишки, но и ее стенку, что может явиться причиной прободения язвы.","{'явля': 0.013692203403924061, 'лечен': 0.012170847470154721, 'однак': 0.10953762723139249, 'случа': 0.036512542410464165, 'больн': 0.027384406807848122, 'моч': 0.054768813615696244, 'тольк': 0.10953762723139249, 'состоян': 0.10953762723139249, 'происход': 0.10953762723139249, 'причин': 0.10953762723139249}","{'явля': 0.01978021978021978, 'лечен': 0.017582417582417582, 'однак': 0.15824175824175823, 'случа': 0.05274725274725275, 'больн': 0.03956043956043956, 'моч': 0.07912087912087912, 'тольк': 0.15824175824175823, 'состоян': 0.15824175824175823, 'происход': 0.15824175824175823, 'причин': 0.15824175824175823}"
39,Гипотиреоз,Закладывание горла.,{},{}
40,Гиперпролактинемия,"При появлении симптомов нарушения гормонального обмена, которые может оценить только специалист, необходимо обратиться к врачу.","{'специалист': 0.0060854237350773605, 'врач': 0.0028825691376682234, 'необходим': 0.054768813615696244, 'котор': 0.018256271205232082, 'симпт': 0.10953762723139249, 'нарушен': 0.054768813615696244, 'появлен': 0.10953762723139249, 'моч': 0.054768813615696244, 'тольк': 0.10953762723139249}","{'специалист': 0.011699507389162561, 'врач': 0.005541871921182266, 'необходим': 0.10529556650246305, 'котор': 0.035098522167487683, 'симпт': 0.2105911330049261, 'нарушен': 0.10529556650246305, 'появлен': 0.2105911330049261, 'моч': 0.10529556650246305, 'тольк': 0.2105911330049261}"
41,Рак предстательной железы,В болезни выделяются четыре стадии:,{'болезн': 0.054768813615696244},{'болезн': 1.0}
