,Disease,Targ,KwMult,KwNorm
90,Воспаление околоносовых пазух,Дополнительно статьи на данную тему:,"{'дополнительн': 0.10953762723139249, 'дава': 0.10953762723139249}","{'дополнительн': 0.5, 'дава': 0.5}"
92,Мочекаменная болезнь,"Литотрипсия - это разрушение камней, имеющихся в мочевом пузыре. При экстракорпоральной ударно-волновой литотрипсии волны генерируются внешним источником энергии и передаются от него к месту проведения операции. Специальный прибор (литотриптор) позволяет точно определить местонахождение камня. Дробление происходит вследствие воздействия на камень ударной волны, которая формируется путем искрового разряда. При этом в камне происходит деформация, которая превышает его прочность. Камень дробится с помощью многих ударных волн - от 1500 до 3500 в зависимости от состава камня. Терапевтические волны проникают в тело пациента через контактную гидроподушку с мембраной и контактный гель. Основное достоинство данного метода - пациента не оперируют и зачастую после процедуры сразу выписывают домой. Осколки камней, которые не вышли самопроизвольно, врач извлекает из мочевика специальными щипцами.","{'врач': 0.0028825691376682234, 'пациент': 0.015648232461627498, 'помощ': 0.018256271205232082, 'специальн': 0.010953762723139249, 'котор': 0.018256271205232082, 'метод': 0.10953762723139249, 'эт': 0.036512542410464165, 'тел': 0.054768813615696244, 'основн': 0.10953762723139249, 'внешн': 0.10953762723139249, 'ег': 0.10953762723139249, 'соста': 0.054768813615696244, 'имет': 0.027384406807848122, 'зависим': 0.10953762723139249, 'происход': 0.10953762723139249, 'мног': 0.054768813615696244, 'проведен': 0.10953762723139249, 'процедур': 0.10953762723139249, 'дан': 0.10953762723139249}","{'врач': 0.002251938275444221, 'пациент': 0.012224807780982914, 'помощ': 0.01426227574448007, 'специальн': 0.00855736544668804, 'котор': 0.01426227574448007, 'метод': 0.08557365446688041, 'эт': 0.02852455148896014, 'тел': 0.042786827233440204, 'основн': 0.08557365446688041, 'внешн': 0.08557365446688041, 'ег': 0.08557365446688041, 'соста': 0.042786827233440204, 'имет': 0.021393413616720102, 'зависим': 0.08557365446688041, 'происход': 0.08557365446688041, 'мног': 0.042786827233440204, 'проведен': 0.08557365446688041, 'процедур': 0.08557365446688041, 'дан': 0.08557365446688041}"
93,Грибковые инфекции кожи,"Грибки-дерматофиты, поражающие кожу, также как и другие грибы могут жить только во влажной и теплой среде. Зная об этом, становится ясно, почему дерматофиты появляются в определенных частях тела, например, между пальцами ног, в паховой области, под мышкой.","{'област': 0.012170847470154721, 'такж': 0.021907525446278497, 'определен': 0.036512542410464165, 'част': 0.036512542410464165, 'эт': 0.036512542410464165, 'появля': 0.054768813615696244, 'тел': 0.054768813615696244, 'станов': 0.054768813615696244, 'моч': 0.054768813615696244, 'тольк': 0.10953762723139249, 'друг': 0.054768813615696244, 'например': 0.054768813615696244}","{'област': 0.02092050209205021, 'такж': 0.03765690376569038, 'определен': 0.06276150627615062, 'част': 0.06276150627615062, 'эт': 0.06276150627615062, 'появля': 0.09414225941422594, 'тел': 0.09414225941422594, 'станов': 0.09414225941422594, 'моч': 0.09414225941422594, 'тольк': 0.18828451882845187, 'друг': 0.09414225941422594, 'например': 0.09414225941422594}"
96,Катаракта,Постепенное снижение остроты зрения.,{},{}
97,Утопление,"Основная задача человека, оказывающего первую помощь при утоплении - вытащить из воды пострадавшего и вызвать скорую медицинскую помощь. Действовать рекомендуется следующим образом:","{'медицинск': 0.0036512542410464164, 'образ': 0.10953762723139249, 'оказыва': 0.054768813615696244, 'помощ': 0.018256271205232082, 'основн': 0.10953762723139249, 'задач': 0.10953762723139249, 'человек': 0.027384406807848122, 'скор': 0.10953762723139249, 'действова': 0.10953762723139249}","{'медицинск': 0.0056022408963585435, 'образ': 0.16806722689075632, 'оказыва': 0.08403361344537816, 'помощ': 0.02801120448179272, 'основн': 0.16806722689075632, 'задач': 0.16806722689075632, 'человек': 0.04201680672268908, 'скор': 0.16806722689075632, 'действова': 0.16806722689075632}"
98,Полиневропатия,"Важнейшее условие эффективного лечения: если человек страдает алкоголизмом, то он должен отказаться от употребления алкоголя, иначе неврологические расстройства будут только прогрессировать. При наличии сахарного диабета необходимо соблюдать диету.","{'диет': 0.10953762723139249, 'лечен': 0.012170847470154721, 'необходим': 0.054768813615696244, 'быт': 0.054768813615696244, 'расстройств': 0.10953762723139249, 'тольк': 0.10953762723139249, 'человек': 0.027384406807848122, 'важн': 0.10953762723139249, 'есл': 0.10953762723139249}","{'диет': 0.15720524017467247, 'лечен': 0.017467248908296942, 'необходим': 0.07860262008733623, 'быт': 0.07860262008733623, 'расстройств': 0.15720524017467247, 'тольк': 0.15720524017467247, 'человек': 0.03930131004366812, 'важн': 0.15720524017467247, 'есл': 0.15720524017467247}"
99,Абсцесс легкого,Дополнительно статьи на данную тему:,"{'дополнительн': 0.10953762723139249, 'дава': 0.10953762723139249}","{'дополнительн': 0.5, 'дава': 0.5}"
101,Глистяные заболевания,"Существует более 20 видов различных глистов, способных поселиться в организме человека и вызывать заболевания. Симптомы и течение этих заболеваний могут быть очень разными. Глисты - это паразиты. Существует несколько стадий развития глистов. Некоторые глисты в процессе развития меняют «хозяина».","{'быт': 0.054768813615696244, 'симпт': 0.10953762723139249, 'заболеван': 0.018256271205232082, 'эт': 0.036512542410464165, 'процесс': 0.036512542410464165, 'способн': 0.10953762723139249, 'вид': 0.10953762723139249, 'течен': 0.10953762723139249, 'моч': 0.054768813615696244, 'человек': 0.027384406807848122, 'организм': 0.054768813615696244, 'нескольк': 0.10953762723139249, 'некотор': 0.10953762723139249, 'мног': 0.054768813615696244}","{'быт': 0.055045871559633024, 'симпт': 0.11009174311926605, 'заболеван': 0.018348623853211007, 'эт': 0.03669724770642201, 'процесс': 0.03669724770642201, 'способн': 0.11009174311926605, 'вид': 0.11009174311926605, 'течен': 0.11009174311926605, 'моч': 0.055045871559633024, 'человек': 0.027522935779816512, 'организм': 0.055045871559633024, 'нескольк': 0.11009174311926605, 'некотор': 0.11009174311926605, 'мног': 0.055045871559633024}"
102,Болезнь Рейтера,"В начале болезни у пациента часто повышается температура тела, возможен сильный понос. Спустя 1-2 недели после начала инфекции возникает воспаление мочеиспускательного канала, появляются выделения из уретры. Вскоре начинается воспаление соединительной оболочки глаз и суставов. Появляются изменения слизистых оболочек, эрозии, гиперкератоз.","{'пациент': 0.015648232461627498, '1': 0.007302508482092833, 'част': 0.036512542410464165, 'болезн': 0.054768813615696244, 'появля': 0.054768813615696244, 'тел': 0.054768813615696244, 'начина': 0.10953762723139249, '2': 0.018256271205232082, 'возможн': 0.10953762723139249, 'изменен': 0.10953762723139249}","{'пациент': 0.027422303473491776, '1': 0.012797074954296161, 'част': 0.06398537477148081, 'болезн': 0.09597806215722121, 'появля': 0.09597806215722121, 'тел': 0.09597806215722121, 'начина': 0.19195612431444242, '2': 0.031992687385740404, 'возможн': 0.19195612431444242, 'изменен': 0.19195612431444242}"
103,Дисфункция пищевода,"По мнению врачей, наилучшим методом лечения (особенно в тяжелых случаях) является насильственное растяжение суженного участка пищевода, т. н. баллонная дилатация, мышцы расширяют с помощью небольшого баллона, помещенного в суженную часть пищевода.","{'врач': 0.0028825691376682234, 'явля': 0.013692203403924061, 'лечен': 0.012170847470154721, 'помощ': 0.018256271205232082, 'част': 0.036512542410464165, 'метод': 0.10953762723139249, 'случа': 0.036512542410464165, 'особен': 0.036512542410464165}","{'врач': 0.010833584110743304, 'явля': 0.05145952452603069, 'лечен': 0.04574179957869395, 'помощ': 0.06861269936804092, 'част': 0.13722539873608183, 'метод': 0.4116761962082455, 'случа': 0.13722539873608183, 'особен': 0.13722539873608183}"
104,Анемия,"Острое состояние возникает при употреблении в пищу бобов фава, а также после приема некоторых лекарственных средств. Криз могут вызвать инфекции, болезни почек и печени, сахарный диабет и другие нарушения обмена веществ. Первые симптомы обострения - потемнение мочи, желтуха, боли в животе, спине и конечностях, упадок сил, лихорадка, обмороки и понос. Больные должны знать, какие вещества представляют для них опасность, и избегать их.","{'такж': 0.021907525446278497, 'симпт': 0.10953762723139249, 'болезн': 0.054768813615696244, 'нарушен': 0.054768813615696244, 'больн': 0.027384406807848122, 'моч': 0.054768813615696244, 'друг': 0.054768813615696244, 'лекарствен': 0.10953762723139249, 'состоян': 0.10953762723139249, 'некотор': 0.10953762723139249, 'спин': 0.054768813615696244}","{'такж': 0.02877697841726619, 'симпт': 0.14388489208633093, 'болезн': 0.07194244604316546, 'нарушен': 0.07194244604316546, 'больн': 0.03597122302158273, 'моч': 0.07194244604316546, 'друг': 0.07194244604316546, 'лекарствен': 0.14388489208633093, 'состоян': 0.14388489208633093, 'некотор': 0.14388489208633093, 'спин': 0.07194244604316546}"
105,Мания преследования,"Мания преследования - это хроническое психическое заболевание, которое протекает по-разному. Болезнь склонна к рецидивам. Обычно бредовые идеи ощущения преследования удается контролировать при помощи медикаментозного лечения.","{'лечен': 0.012170847470154721, 'помощ': 0.018256271205232082, 'котор': 0.018256271205232082, 'психическ': 0.054768813615696244, 'болезн': 0.054768813615696244, 'заболеван': 0.018256271205232082, 'эт': 0.036512542410464165, 'контролирова': 0.10953762723139249}","{'лечен': 0.03773584905660377, 'помощ': 0.05660377358490566, 'котор': 0.05660377358490566, 'психическ': 0.16981132075471697, 'болезн': 0.16981132075471697, 'заболеван': 0.05660377358490566, 'эт': 0.11320754716981132, 'контролирова': 0.33962264150943394}"
106,Кератоз,Болезненное утолщение кожи на ладонях и подошвах.,{},{}
108,Отеки,"Отечность мягких тканей может возникнуть вследствие механических раздражений, например, посттравматический отек тканей. Однако в большинстве случаев причиной их появления является нарушение водно-солевого баланса в организме. Например, если в крови не хватает определенных солей или белков, то изменяются ее химические свойства. Разумеется, из артериальных капилляров образующаяся тканевая жидкость еще питает ткани, однако в венозных капиллярах эта жидкость резорбироваться не может. Лимфатическая система также не обеспечивает достаточный отток тканевой жидкости из тканей. Помимо тяжелых органических поражений появляется отечность кожи век и бедер.","{'явля': 0.013692203403924061, 'такж': 0.021907525446278497, 'определен': 0.036512542410464165, 'век': 0.036512542410464165, 'ил': 0.007302508482092833, 'их': 0.10953762723139249, 'нарушен': 0.054768813615696244, 'появля': 0.054768813615696244, 'однак': 0.10953762723139249, 'случа': 0.036512542410464165, 'появлен': 0.10953762723139249, 'моч': 0.054768813615696244, 'организм': 0.054768813615696244, 'систем': 0.036512542410464165, 'например': 0.054768813615696244, 'есл': 0.10953762723139249, 'причин': 0.10953762723139249}","{'явля': 0.013550135501355013, 'такж': 0.02168021680216802, 'определен': 0.036133694670280034, 'век': 0.036133694670280034, 'ил': 0.007226738934056007, 'их': 0.1084010840108401, 'нарушен': 0.05420054200542005, 'появля': 0.05420054200542005, 'однак': 0.1084010840108401, 'случа': 0.036133694670280034, 'появлен': 0.1084010840108401, 'моч': 0.05420054200542005, 'организм': 0.05420054200542005, 'систем': 0.036133694670280034, 'например': 0.05420054200542005, 'есл': 0.1084010840108401, 'причин': 0.1084010840108401}"
109,Отравление лекарствами,"При покупке лекарственного средства в аптеке обратите внимание провизора на то, что лекарство предназначено для ребёнка, сообщите ему о возрасте и весе ребёнка, проверьте срок годности препарата.","{'препарат': 0.054768813615696244, 'ребенок': 0.10953762723139249, 'лекарствен': 0.10953762723139249, 'срок': 0.10953762723139249, 'лекарств': 0.10953762723139249}","{'препарат': 0.1111111111111111, 'ребенок': 0.2222222222222222, 'лекарствен': 0.2222222222222222, 'срок': 0.2222222222222222, 'лекарств': 0.2222222222222222}"
110,Гиперемия,"Все зависит от болезни, вызвавшей данное нарушение. Очень важно соблюдать диету, назначенную врачом.","{'диет': 0.10953762723139249, 'врач': 0.0028825691376682234, 'болезн': 0.054768813615696244, 'нарушен': 0.054768813615696244, 'важн': 0.10953762723139249, 'дан': 0.10953762723139249}","{'диет': 0.24836601307189543, 'врач': 0.006535947712418301, 'болезн': 0.12418300653594772, 'нарушен': 0.12418300653594772, 'важн': 0.24836601307189543, 'дан': 0.24836601307189543}"
112,Гипотиреоз,"Для пациентов с пониженной функцией щитовидки характерна апатичность, вялость. Если вы заметите признаки гипотиреоза у ваших близких или друзей, то обязательно посоветуйте им обратиться к врачу, сами они обычно этого не делают.","{'врач': 0.0028825691376682234, 'пациент': 0.015648232461627498, 'ил': 0.007302508482092833, 'эт': 0.036512542410464165, 'друг': 0.054768813615696244, 'функц': 0.054768813615696244, 'есл': 0.10953762723139249}","{'врач': 0.010242903131401814, 'пациент': 0.05560433128475271, 'ил': 0.025948687932884597, 'эт': 0.129743439664423, 'друг': 0.1946151594966345, 'функц': 0.1946151594966345, 'есл': 0.389230318993269}"
113,Боль в боку,"Приступообразные боли характерны, не только для почечнокаменной, но и для желчнокаменной болезни. В данном случае отмечаются сильные покалывания в правом подреберье и подложечной области, которые иррадиируют в спину и правую лопатку. Недомогания возникают или усиливаются в результате переедания и после приема жирной пищи.","{'област': 0.012170847470154721, 'результат': 0.10953762723139249, 'ил': 0.007302508482092833, 'котор': 0.018256271205232082, 'болезн': 0.054768813615696244, 'случа': 0.036512542410464165, 'тольк': 0.10953762723139249, 'прав': 0.054768813615696244, 'спин': 0.054768813615696244, 'дан': 0.10953762723139249}","{'област': 0.02145922746781116, 'результат': 0.19313304721030045, 'ил': 0.012875536480686697, 'котор': 0.03218884120171674, 'болезн': 0.09656652360515022, 'случа': 0.06437768240343349, 'тольк': 0.19313304721030045, 'прав': 0.09656652360515022, 'спин': 0.09656652360515022, 'дан': 0.19313304721030045}"
115,Пузырный занос,Сильно увеличена матка (более чем необходимо для соответствующего срока беременности).,"{'соответств': 0.021907525446278497, 'беремен': 0.054768813615696244, 'необходим': 0.054768813615696244, 'срок': 0.10953762723139249}","{'соответств': 0.09090909090909091, 'беремен': 0.22727272727272727, 'необходим': 0.22727272727272727, 'срок': 0.45454545454545453}"
116,Бледность,"Бледность кожных покровов, не проходящая длительное время, может являться симптомом малокровия, характеризующегося уменьшением в крови общего количества гемоглобина.","{'явля': 0.013692203403924061, 'врем': 0.027384406807848122, 'симпт': 0.10953762723139249, 'проход': 0.036512542410464165, 'общ': 0.018256271205232082, 'моч': 0.054768813615696244}","{'явля': 0.052631578947368425, 'врем': 0.10526315789473685, 'симпт': 0.4210526315789474, 'проход': 0.14035087719298248, 'общ': 0.07017543859649124, 'моч': 0.2105263157894737}"
117,Скотома,Дополнительно статьи на данную тему:,"{'дополнительн': 0.10953762723139249, 'дава': 0.10953762723139249}","{'дополнительн': 0.5, 'дава': 0.5}"
118,Зуд в области заднего прохода,"Задний проход (конечная часть пищеварительного канала, служащая для удаления из организма непереваренных остатков пищи) - это чувствительная часть тела. Патологическое состояние, характеризующееся упорным зудом в области заднего прохода, встречается довольно часто. При появлении сильного зуда, что может являться симптомом наличия серьезного заболевания, необходимо обратиться к врачу, который установит причину зуда, а также при необходимости назначит лечение и порекомендует мазь, уменьшающую зуд.","{'област': 0.012170847470154721, 'врач': 0.0028825691376682234, 'явля': 0.013692203403924061, 'лечен': 0.012170847470154721, 'такж': 0.021907525446278497, 'необходим': 0.054768813615696244, 'котор': 0.018256271205232082, 'част': 0.036512542410464165, 'симпт': 0.10953762723139249, 'заболеван': 0.018256271205232082, 'эт': 0.036512542410464165, 'встреча': 0.10953762723139249, 'тел': 0.054768813615696244, 'появлен': 0.10953762723139249, 'проход': 0.036512542410464165, 'моч': 0.054768813615696244, 'устанавлива': 0.10953762723139249, 'организм': 0.054768813615696244, 'состоян': 0.10953762723139249, 'причин': 0.10953762723139249, 'служа': 0.10953762723139249}","{'област': 0.010187257885071646, 'врач': 0.002412771604359074, 'явля': 0.011460665120705602, 'лечен': 0.010187257885071646, 'такж': 0.01833706419312896, 'необходим': 0.04584266048282241, 'котор': 0.01528088682760747, 'част': 0.03056177365521494, 'симпт': 0.09168532096564481, 'заболеван': 0.01528088682760747, 'эт': 0.03056177365521494, 'встреча': 0.09168532096564481, 'тел': 0.04584266048282241, 'появлен': 0.09168532096564481, 'проход': 0.03056177365521494, 'моч': 0.04584266048282241, 'устанавлива': 0.09168532096564481, 'организм': 0.04584266048282241, 'состоян': 0.09168532096564481, 'причин': 0.09168532096564481, 'служа': 0.09168532096564481}"
120,Тиф брюшной,Дополнительно статьи на данную тему:,"{'дополнительн': 0.10953762723139249, 'дава': 0.10953762723139249}","{'дополнительн': 0.5, 'дава': 0.5}"
121,Невропатические нарушения пищеварения,"Эти расстройства вызваны нейромышечными нарушениями функции кишечника. Было замечено, что после приема пищи у этих людей возникают множественные сокращения кишечника и появляется ощущение усиленной деятельности пищеварительного тракта. Синдром раздраженной толстой кишки может вызвать сильный стресс. Заболевание может быть и хроническим. Среди страдающих синдромом раздраженной толстой кишки имеется много больных с психическими заболеваниями, но эта связь еще не вполне отчетлива. Вышеописанные симптомы иногда связаны с употреблением слабительных препаратов. Это нарушение часто путают с аллергией на пищевые продукты. Однако во время аллергической реакции в организме наблюдаются иммунологические изменения.","{'врем': 0.027384406807848122, 'пута': 0.036512542410464165, 'быт': 0.054768813615696244, 'част': 0.036512542410464165, 'препарат': 0.054768813615696244, 'психическ': 0.054768813615696244, 'расстройств': 0.10953762723139249, 'симпт': 0.10953762723139249, 'заболеван': 0.018256271205232082, 'эт': 0.036512542410464165, 'нарушен': 0.054768813615696244, 'появля': 0.054768813615696244, 'однак': 0.10953762723139249, 'иногд': 0.054768813615696244, 'больн': 0.027384406807848122, 'сокращен': 0.10953762723139249, 'моч': 0.054768813615696244, 'имет': 0.027384406807848122, 'человек': 0.027384406807848122, 'функц': 0.054768813615696244, 'организм': 0.054768813615696244, 'мног': 0.054768813615696244, 'изменен': 0.10953762723139249, 'деятельн': 0.036512542410464165}","{'врем': 0.019999999999999993, 'пута': 0.026666666666666658, 'быт': 0.03999999999999999, 'част': 0.026666666666666658, 'препарат': 0.03999999999999999, 'психическ': 0.03999999999999999, 'расстройств': 0.07999999999999997, 'симпт': 0.07999999999999997, 'заболеван': 0.013333333333333329, 'эт': 0.026666666666666658, 'нарушен': 0.03999999999999999, 'появля': 0.03999999999999999, 'однак': 0.07999999999999997, 'иногд': 0.03999999999999999, 'больн': 0.019999999999999993, 'сокращен': 0.07999999999999997, 'моч': 0.03999999999999999, 'имет': 0.019999999999999993, 'человек': 0.019999999999999993, 'функц': 0.03999999999999999, 'организм': 0.03999999999999999, 'мног': 0.03999999999999999, 'изменен': 0.07999999999999997, 'деятельн': 0.026666666666666658}"
122,Болезни радужной оболонки,Болезни радужной оболочки требуют лечения в связи с возможным поражением сетчатки глаза. При отсутствии лечения больному угрожает полная потеря зрения.,"{'лечен': 0.012170847470154721, 'болезн': 0.054768813615696244, 'больн': 0.027384406807848122, 'возможн': 0.10953762723139249, 'требова': 0.054768813615696244, 'угрожа': 0.10953762723139249}","{'лечен': 0.03305785123966942, 'болезн': 0.1487603305785124, 'больн': 0.0743801652892562, 'возможн': 0.2975206611570248, 'требова': 0.1487603305785124, 'угрожа': 0.2975206611570248}"
123,Киста поджелудочной железы,Кисты поджелудочной железы могут быть истинные и ложные (псевдокисты).,"{'быт': 0.054768813615696244, 'моч': 0.054768813615696244}","{'быт': 0.5, 'моч': 0.5}"
124,Воспаление почечных лоханок,Головная боль.,{'головн': 0.027384406807848122},{'головн': 1.0}
127,Бронхоэктаз,Фиброз легких,{},{}
128,Желтая лихорадка,Желтуха.,{},{}
