,ProfLinks,DescriptionText,KwMult
0,Диетолог,"Дието́лог — специалист в области диетологии, соответствующий академическим и профессиональным требованиям. Врач-диетолог является дипломированным врачом, закончившим медицинский вуз и получившим затем дополнительное образование по диетологии, подтвержденное соответствующим дипломом. Является экспертом в области питания. Врачи-диетологи  занимаются лечением ожирения, а также дают рекомендации пациентам по вопросам правильного питания, ведения здорового образа жизни, либо ставят цели для достижения определённых результатов, связанных со здоровьем.","{'диет': 0.10914181288692824, 'лог': 0.015591687555275463, 'специалист': 0.006063434049273791, 'област': 0.024253736197095165, 'диетолог': 0.10914181288692824, 'соответств': 0.05457090644346412, 'академическ': 0.10914181288692824, 'профессиональн': 0.05457090644346412, 'требован': 0.10914181288692824, 'врач': 0.008849336180021209, 'явля': 0.02728545322173206, 'дипломирова': 0.10914181288692824, 'законч': 0.10914181288692824, 'медицинск': 0.0036380604295642746, 'вуз': 0.10914181288692824, 'получ': 0.015591687555275463, 'зат': 0.10914181288692824, 'дополнительн': 0.10914181288692824, 'образован': 0.006420106640407544, 'подтвержден': 0.10914181288692824, 'диплом': 0.05457090644346412, 'эксперт': 0.05457090644346412, 'питан': 0.10914181288692824, 'занима': 0.01364272661086603, 'лечен': 0.012126868098547582, 'ожирен': 0.10914181288692824, 'такж': 0.02182836257738565, 'дают': 0.10914181288692824, 'рекомендац': 0.10914181288692824, 'пациент': 0.015591687555275463, 'вопрос': 0.03638060429564275, 'правильн': 0.10914181288692824, 'веден': 0.10914181288692824, 'здоров': 0.0727612085912855, 'образ': 0.10914181288692824, 'жизн': 0.05457090644346412, 'либ': 0.05457090644346412, 'став': 0.10914181288692824, 'цел': 0.05457090644346412, 'достижен': 0.10914181288692824, 'определен': 0.03638060429564275, 'результат': 0.10914181288692824, 'связа': 0.05457090644346412}"
2,Акушерка,"Акуше́рка (фр. accoucher — помогать при родах[1]) — средний медицинский работник, специалист в акушерстве, оказывающий помощь беременным и роженицам (во время родов). В России для работы акушеркой необходимо получить среднее специальное образование по специальности «Медико-акушерское дело». Квалификации: «акушер(ка)», «фельдшер-акушер». Не следует путать с врачом акушер-гинекологом (высшее медицинское образование).","{'специалист': 0.006063434049273791, 'врач': 0.0029497787266737365, 'медицинск': 0.007276120859128549, 'получ': 0.015591687555275463, 'образован': 0.012840213280815088, '1': 0.007276120859128549, 'акуш': 0.05457090644346412, 'рка': 0.05457090644346412, 'фр': 0.10914181288692824, 'accoucher': 0.10914181288692824, 'помога': 0.10914181288692824, 'род': 0.05457090644346412, 'средн': 0.02728545322173206, 'работник': 0.03638060429564275, 'акушерств': 0.05457090644346412, 'оказыва': 0.10914181288692824, 'помощ': 0.018190302147821375, 'беремен': 0.05457090644346412, 'рожениц': 0.10914181288692824, 'врем': 0.02728545322173206, 'росс': 0.02728545322173206, 'работ': 0.03638060429564275, 'акушерк': 0.10914181288692824, 'необходим': 0.05457090644346412, 'специальн': 0.02182836257738565, 'медик': 0.018190302147821375, 'акушерск': 0.10914181288692824, 'дел': 0.03638060429564275, 'квалификац': 0.05457090644346412, 'акушер': 0.08185635966519618, 'ка': 0.10914181288692824, 'фельдшер': 0.10914181288692824, 'след': 0.10914181288692824, 'пута': 0.03638060429564275, 'гинеколог': 0.05457090644346412, 'высш': 0.01364272661086603}"
6,Психиатр,"Психиа́тр (др.-греч. ψυχή — душа; ἰατρός — врач) — специалист с высшим образованием в области психиатрии, области медицины, изучающей психические расстройства. В отличие от психологов, не всегда являющихся врачами, психиатры занимаются оценкой симптомов пациентов для определения их следствия из психофизической и физической болезней.","{'специалист': 0.006063434049273791, 'област': 0.024253736197095165, 'врач': 0.005899557453347473, 'явля': 0.01364272661086603, 'образован': 0.006420106640407544, 'занима': 0.01364272661086603, 'пациент': 0.015591687555275463, 'определен': 0.03638060429564275, 'высш': 0.01364272661086603, 'тр': 0.05457090644346412, 'др': 0.02728545322173206, 'греч': 0.02728545322173206, 'псих': 0.10914181288692824, 'ψυχή': 0.10914181288692824, 'душ': 0.10914181288692824, 'ἰατρός': 0.10914181288692824, 'психиатр': 0.0727612085912855, 'медицин': 0.03638060429564275, 'изуча': 0.10914181288692824, 'психическ': 0.05457090644346412, 'расстройств': 0.10914181288692824, 'отлич': 0.05457090644346412, 'психолог': 0.10914181288692824, 'всегд': 0.10914181288692824, 'оценк': 0.10914181288692824, 'симптом': 0.10914181288692824, 'следств': 0.05457090644346412, 'психофизическ': 0.10914181288692824, 'физическ': 0.10914181288692824, 'болезн': 0.05457090644346412}"
7,Хирург,"Хиру́рг (др.-греч. χερί — рука + др.-греч. ἔργον — работа, действие) — врач-специалист, получивший подготовку по методам диагностики и хирургического лечения заболеваний и травм[1].","{'специалист': 0.006063434049273791, 'врач': 0.0029497787266737365, 'получ': 0.015591687555275463, 'лечен': 0.012126868098547582, '1': 0.007276120859128549, 'работ': 0.03638060429564275, 'др': 0.05457090644346412, 'греч': 0.05457090644346412, 'хир': 0.10914181288692824, 'рг': 0.10914181288692824, 'χερί': 0.10914181288692824, 'рук': 0.10914181288692824, 'ἔργον': 0.10914181288692824, 'действ': 0.05457090644346412, 'подготовк': 0.03638060429564275, 'метод': 0.10914181288692824, 'диагностик': 0.02728545322173206, 'хирургическ': 0.10914181288692824, 'заболеван': 0.018190302147821375, 'травм': 0.03638060429564275}"
8,Отоневролог,"Отоневролог - это врач, который специализируется на нарушениях вестибулярного аппарата, появившихся в следствие воспалительного процесса головного мозга, черепно-мозговой травмы или заболеваний.","{'врач': 0.0029497787266737365, 'ил': 0.007276120859128549, 'эт': 0.02182836257738565, 'котор': 0.018190302147821375, 'следств': 0.05457090644346412, 'заболеван': 0.018190302147821375, 'травм': 0.03638060429564275, 'отоневролог': 0.10914181288692824, 'специализир': 0.10914181288692824, 'нарушен': 0.03638060429564275, 'вестибулярн': 0.10914181288692824, 'аппарат': 0.10914181288692824, 'появ': 0.05457090644346412, 'воспалительн': 0.10914181288692824, 'процесс': 0.03638060429564275, 'головн': 0.02728545322173206, 'мозг': 0.02728545322173206, 'черепн': 0.10914181288692824, 'мозгов': 0.10914181288692824}"
9,Физиотерапевт,"Физиотерапе́вт — специалист с профессиональным образованием, который восстанавливает или сохраняет нарушенную двигательную способность и дееспособность пациента.","{'специалист': 0.006063434049273791, 'профессиональн': 0.05457090644346412, 'образован': 0.006420106640407544, 'пациент': 0.015591687555275463, 'ил': 0.007276120859128549, 'котор': 0.018190302147821375, 'нарушен': 0.03638060429564275, 'физиотерап': 0.10914181288692824, 'вт': 0.10914181288692824, 'восстанавлива': 0.10914181288692824, 'сохраня': 0.10914181288692824, 'двигательн': 0.10914181288692824, 'способн': 0.10914181288692824, 'дееспособн': 0.10914181288692824}"
10,Зубной техник,"Зубной техник — одна из профессий в современной стоматологии, входит в понятие дантист. Зубных техников часто путают с зубными врачами или стоматологами. Однако в отличие от стоматологов или зубных врачей, зубной техник не встречается с пациентами. Иногда в исключительных случаях такая встреча бывает необходима. Чаще всего пациенты стоматологических клиник попадают в зуботехническую лабораторию для коррекции цвета зубных протезов, для замены матриц аттачменов в бюгельных протезах или для починки съёмного протеза.","{'врач': 0.005899557453347473, 'пациент': 0.031183375110550925, 'ил': 0.021828362577385647, 'необходим': 0.05457090644346412, 'пута': 0.03638060429564275, 'част': 0.05457090644346412, 'отлич': 0.05457090644346412, 'зубн': 0.09355012533165277, 'техник': 0.10914181288692826, 'одн': 0.10914181288692824, 'професс': 0.05457090644346412, 'современ': 0.05457090644346412, 'стоматолог': 0.08185635966519618, 'вход': 0.03638060429564275, 'понят': 0.10914181288692824, 'дантист': 0.10914181288692824, 'однак': 0.10914181288692824, 'встреча': 0.10914181288692824, 'иногд': 0.05457090644346412, 'исключительн': 0.10914181288692824, 'случа': 0.03638060429564275, 'встреч': 0.10914181288692824, 'быва': 0.10914181288692824, 'чащ': 0.10914181288692824, 'всег': 0.10914181288692824, 'стоматологическ': 0.10914181288692824, 'клиник': 0.10914181288692824, 'попада': 0.10914181288692824, 'зуботехническ': 0.10914181288692824, 'лаборатор': 0.10914181288692824, 'коррекц': 0.10914181288692824, 'цвет': 0.10914181288692824, 'протез': 0.10914181288692826, 'зам': 0.10914181288692824, 'матриц': 0.10914181288692824, 'аттачмен': 0.10914181288692824, 'бюгельн': 0.10914181288692824, 'починк': 0.10914181288692824, 'съемн': 0.10914181288692824}"
12,Акушер-гинеколог,"Акуше́р-гинеко́лог — врач специалист, получивший специальную подготовку по вопросам акушерства и гинекологии, профилактики и лечения гинекологической патологии, медицинского наблюдения за течением беременности, оказания врачебной помощи в процессе родов и в послеродовом периоде[1]. В двух словах, врач, контролирующий процесс вынашивания и рождения ребёнка и несущий ответственность за здоровье плода и его мамы.","{'лог': 0.015591687555275463, 'специалист': 0.006063434049273791, 'врач': 0.005899557453347473, 'медицинск': 0.0036380604295642746, 'получ': 0.015591687555275463, 'лечен': 0.012126868098547582, 'вопрос': 0.03638060429564275, 'здоров': 0.03638060429564275, '1': 0.007276120859128549, 'акуш': 0.05457090644346412, 'род': 0.02728545322173206, 'акушерств': 0.05457090644346412, 'помощ': 0.018190302147821375, 'беремен': 0.05457090644346412, 'специальн': 0.010914181288692825, 'гинеколог': 0.05457090644346412, 'подготовк': 0.03638060429564275, 'процесс': 0.0727612085912855, 'р': 0.05457090644346412, 'гинек': 0.10914181288692824, 'профилактик': 0.05457090644346412, 'гинекологическ': 0.10914181288692824, 'патолог': 0.05457090644346412, 'наблюден': 0.10914181288692824, 'течен': 0.10914181288692824, 'оказан': 0.03638060429564275, 'врачебн': 0.018190302147821375, 'послеродов': 0.10914181288692824, 'период': 0.10914181288692824, 'двух': 0.10914181288692824, 'слов': 0.10914181288692824, 'контролир': 0.10914181288692824, 'вынашиван': 0.10914181288692824, 'рожден': 0.10914181288692824, 'ребенк': 0.10914181288692824, 'несущ': 0.10914181288692824, 'ответствен': 0.05457090644346412, 'плод': 0.10914181288692824, 'ег': 0.10914181288692824, 'мам': 0.10914181288692824}"
13,Санинструктор,"Санита́рный инстру́ктор (сокращённо санинстру́ктор; ВУС – 878659А, состав категории учёта (должность) – сержанты) — лицо младшего медицинского состава военно-медицинской службы, прошедшее специальную военно-медицинскую подготовку (в учебном подразделении), и ответственное за медицинское обеспечение роты или батареи.","{'медицинск': 0.014552241718257098, 'должност': 0.018190302147821375, 'ил': 0.007276120859128549, 'специальн': 0.010914181288692825, 'ктор': 0.05457090644346412, 'подготовк': 0.03638060429564275, 'ответствен': 0.05457090644346412, 'санит': 0.03638060429564275, 'рны': 0.10914181288692824, 'инстр': 0.10914181288692824, 'сокращен': 0.10914181288692824, 'санинстр': 0.10914181288692824, 'вус': 0.10914181288692824, '878659а': 0.10914181288692824, 'соста': 0.10914181288692824, 'категор': 0.10914181288692824, 'учет': 0.10914181288692824, 'сержант': 0.10914181288692824, 'лиц': 0.02728545322173206, 'младш': 0.03638060429564275, 'состав': 0.10914181288692824, 'воен': 0.05457090644346412, 'служб': 0.05457090644346412, 'прошедш': 0.03638060429564275, 'учебн': 0.10914181288692824, 'подразделен': 0.05457090644346412, 'обеспечен': 0.10914181288692824, 'рот': 0.10914181288692824, 'батар': 0.10914181288692824}"
14,Врач общей практики,Врач общей практики — специалист в области общей медицины. В России врачом общей практики может быть только специалист с высшим медицинским образованием. Разновидностью врача общей практики является семейный врач. Задачей врача общей практики является оказание первичной врачебной помощи[1][2].,"{'специалист': 0.012126868098547582, 'област': 0.012126868098547582, 'врач': 0.014748893633368683, 'явля': 0.02728545322173206, 'медицинск': 0.0036380604295642746, 'образован': 0.006420106640407544, '1': 0.007276120859128549, 'помощ': 0.018190302147821375, 'росс': 0.02728545322173206, 'высш': 0.01364272661086603, 'медицин': 0.03638060429564275, 'оказан': 0.03638060429564275, 'врачебн': 0.018190302147821375, 'общ': 0.09095151073910687, 'практик': 0.06236675022110185, 'может': 0.05457090644346412, 'быт': 0.10914181288692824, 'тольк': 0.10914181288692824, 'разновидн': 0.10914181288692824, 'семейн': 0.10914181288692824, 'задач': 0.10914181288692824, 'первичн': 0.10914181288692824, '2': 0.018190302147821375}"
15,Фельдшер,"Фе́льдшер (нем. Feldscher[1]) — специалист со средним специальным медицинским образованием, который имеет право проводить диагностику и устанавливать диагноз, проводить самостоятельное лечение или направлять пациента к врачу-специалисту. Нестроевой средний медицинский чин в Русской Императорской Армии[2].","{'специалист': 0.012126868098547582, 'врач': 0.0029497787266737365, 'медицинск': 0.007276120859128549, 'образован': 0.006420106640407544, 'лечен': 0.012126868098547582, 'пациент': 0.015591687555275463, 'нем': 0.02182836257738565, 'ил': 0.007276120859128549, '1': 0.007276120859128549, 'средн': 0.02728545322173206, 'специальн': 0.010914181288692825, 'котор': 0.018190302147821375, 'диагностик': 0.02728545322173206, '2': 0.018190302147821375, 'фе': 0.10914181288692824, 'льдшер': 0.10914181288692824, 'feldscher': 0.10914181288692824, 'имеет': 0.05457090644346412, 'прав': 0.05457090644346412, 'провод': 0.10914181288692824, 'устанавлива': 0.10914181288692824, 'диагноз': 0.10914181288692824, 'самостоятельн': 0.10914181288692824, 'направля': 0.10914181288692824, 'нестроев': 0.10914181288692824, 'чин': 0.10914181288692824, 'русск': 0.10914181288692824, 'императорск': 0.10914181288692824, 'арм': 0.10914181288692824}"
17,Провизор,"Прови́зор (лат. pro - ""пред"" visor - ""вижу"", предвидящий, заготавливающий) — специалист с высшим фармацевтическим образованием, работающий в сфере производства, хранения и продажи лекарственных препаратов.","{'специалист': 0.006063434049273791, 'образован': 0.006420106640407544, 'высш': 0.01364272661086603, 'лат': 0.02728545322173206, 'препарат': 0.05457090644346412, 'пров': 0.10914181288692824, 'зор': 0.10914181288692824, 'pro': 0.10914181288692824, 'пред': 0.10914181288692824, 'visor': 0.10914181288692824, 'виж': 0.10914181288692824, 'предвидя': 0.10914181288692824, 'заготавлива': 0.10914181288692824, 'фармацевтическ': 0.10914181288692824, 'работа': 0.05457090644346412, 'сфер': 0.10914181288692824, 'производств': 0.10914181288692824, 'хранен': 0.10914181288692824, 'продаж': 0.10914181288692824, 'лекарствен': 0.10914181288692824}"
