,ProfLinks,DescriptionText,KwMult
18,Сиделка,"Сиделка — профессия, предполагающая уход за больным человеком, инвалидом, престарелым, утратившим возможность к самообслуживанию. Не требует медицинского образования.","{'медицинск': 0.0036380604295642746, 'образован': 0.006420106640407544, 'професс': 0.05457090644346412, 'больн': 0.02728545322173206, 'сиделк': 0.10914181288692824, 'предполага': 0.10914181288692824, 'уход': 0.10914181288692824, 'человек': 0.02728545322173206, 'инвалид': 0.10914181288692824, 'престарел': 0.10914181288692824, 'утрат': 0.10914181288692824, 'возможн': 0.10914181288692824, 'самообслуживан': 0.10914181288692824, 'треб': 0.05457090644346412}"
19,Врач анестезиолог-реаниматолог,"Врач анестезио́лог-реанимато́лог — специалист с высшим медицинским образованием (врач), занимающийся поддержанием и восстановлением жизненно важных функций организма при угрожающих жизни состояниях.","{'лог': 0.031183375110550925, 'специалист': 0.006063434049273791, 'врач': 0.005899557453347473, 'медицинск': 0.0036380604295642746, 'образован': 0.006420106640407544, 'занима': 0.01364272661086603, 'жизн': 0.05457090644346412, 'высш': 0.01364272661086603, 'анестез': 0.10914181288692824, 'реанимат': 0.10914181288692824, 'поддержан': 0.05457090644346412, 'восстановлен': 0.10914181288692824, 'жизнен': 0.10914181288692824, 'важн': 0.10914181288692824, 'функц': 0.05457090644346412, 'организм': 0.05457090644346412, 'угрожа': 0.10914181288692824, 'состоян': 0.10914181288692824}"
20,Парамедик,"Параме́дик (англ. paramedic) — специалист с медицинским образованием, работающий в службе скорой медицинской помощи, аварийно-спасательных и военных подразделениях и обладающий навыками оказания экстренной медицинской помощи на догоспитальном этапе. Термин используется преимущественно в странах с англо-американской моделью экстренной помощи[1]. В зависимости от страны или ее региона, срок обучения лиц, которых называют парамедиками может отличаться и колеблется от нескольких месяцев до 4 лет[1][2].","{'специалист': 0.006063434049273791, 'медицинск': 0.010914181288692823, 'образован': 0.006420106640407544, 'ил': 0.007276120859128549, '1': 0.014552241718257098, 'помощ': 0.05457090644346413, 'преимуществен': 0.05457090644346412, 'котор': 0.018190302147821375, 'англ': 0.0727612085912855, 'оказан': 0.03638060429564275, 'лиц': 0.02728545322173206, 'воен': 0.02728545322173206, 'служб': 0.05457090644346412, 'подразделен': 0.05457090644346412, 'может': 0.05457090644346412, '2': 0.018190302147821375, 'работа': 0.05457090644346412, 'парам': 0.10914181288692824, 'дик': 0.10914181288692824, 'paramedic': 0.10914181288692824, 'скор': 0.10914181288692824, 'аварийн': 0.10914181288692824, 'спасательн': 0.10914181288692824, 'облада': 0.10914181288692824, 'навык': 0.05457090644346412, 'экстрен': 0.10914181288692824, 'догоспитальн': 0.10914181288692824, 'этап': 0.10914181288692824, 'термин': 0.10914181288692824, 'использ': 0.05457090644346412, 'стран': 0.0727612085912855, 'американск': 0.10914181288692824, 'модел': 0.10914181288692824, 'зависим': 0.10914181288692824, 'е': 0.10914181288692824, 'регион': 0.10914181288692824, 'срок': 0.10914181288692824, 'обучен': 0.05457090644346412, 'называ': 0.10914181288692824, 'парамедик': 0.10914181288692824, 'отлича': 0.10914181288692824, 'колеблет': 0.10914181288692824, 'нескольк': 0.10914181288692824, 'месяц': 0.10914181288692824, '4': 0.05457090644346412, 'лет': 0.10914181288692824}"
21,Эндокринолог,"Эндокрино́лог —  врач, получивший специализацию по вопросам диагностики, профилактики и лечения патологии эндокринной системы в интернатуре, ординатуре или на кафедре института последипломного образования врачей.","{'лог': 0.015591687555275463, 'врач': 0.005899557453347473, 'получ': 0.015591687555275463, 'образован': 0.006420106640407544, 'лечен': 0.012126868098547582, 'вопрос': 0.03638060429564275, 'ил': 0.007276120859128549, 'диагностик': 0.02728545322173206, 'профилактик': 0.05457090644346412, 'патолог': 0.05457090644346412, 'эндокрин': 0.10914181288692824, 'специализац': 0.05457090644346412, 'систем': 0.03638060429564275, 'интернатур': 0.10914181288692824, 'ординатур': 0.10914181288692824, 'кафедр': 0.10914181288692824, 'институт': 0.10914181288692824, 'последипломн': 0.10914181288692824}"
22,Судебный медик,"Судебный медик — квалифицированный эксперт в области судебной медицины, в чьи обязанности входит расследование случаев смертей и травм, происходящих при необычных или подозрительных обстоятельствах, выполнение посмертной экспертизы. В некоторых государствах имеет право инициировать дознание.[1]","{'област': 0.012126868098547582, 'эксперт': 0.05457090644346412, 'ил': 0.007276120859128549, '1': 0.007276120859128549, 'медик': 0.018190302147821375, 'обязан': 0.02728545322173206, 'медицин': 0.03638060429564275, 'травм': 0.03638060429564275, 'вход': 0.03638060429564275, 'случа': 0.03638060429564275, 'смерт': 0.05457090644346412, 'имеет': 0.05457090644346412, 'прав': 0.05457090644346412, 'судебн': 0.05457090644346412, 'квалифицирова': 0.10914181288692824, 'чьи': 0.10914181288692824, 'расследован': 0.10914181288692824, 'происходя': 0.10914181288692824, 'необычн': 0.10914181288692824, 'подозрительн': 0.10914181288692824, 'обстоятельств': 0.10914181288692824, 'выполнен': 0.10914181288692824, 'посмертн': 0.10914181288692824, 'экспертиз': 0.03638060429564275, 'некотор': 0.10914181288692824, 'государств': 0.10914181288692824, 'инициирова': 0.10914181288692824, 'дознан': 0.10914181288692824}"
23,Аптекарь,"Апте́карь (нем. Apotheker) — специалист в области лекарств, современное название — фармацевт.","{'специалист': 0.006063434049273791, 'област': 0.012126868098547582, 'нем': 0.02182836257738565, 'кар': 0.05457090644346412, 'назван': 0.05457090644346412, 'современ': 0.05457090644346412, 'апт': 0.10914181288692824, 'apotheker': 0.10914181288692824, 'лекарств': 0.10914181288692824, 'фармацевт': 0.10914181288692824}"
24,Невролог,"Невро́лог (до 1980-х гг. — невропато́лог[1]) — врач, получивший высшее медицинское образование и прошедший специализацию по специальности неврология. Невролог занимается диагностикой и лечением болезней, связанных с нервной системой. Это заболевания центральной (головной и спинной мозг) и периферической нервной системы (нервные волокна). Например: опухоли головного и спинного мозга, невриты, невралгии, инсульты и другие нарушения кровообращения головного мозга, энцефалиты, приступы эпилепсии. Многие из этих заболеваний сопровождаются изменением поведения и психического функционирования, тогда к лечению таких пациентов привлекаются психиатры и иногда психотерапевты.","{'лог': 0.031183375110550925, 'врач': 0.0029497787266737365, 'медицинск': 0.0036380604295642746, 'получ': 0.015591687555275463, 'образован': 0.006420106640407544, 'занима': 0.01364272661086603, 'лечен': 0.024253736197095165, 'пациент': 0.015591687555275463, 'связа': 0.05457090644346412, '1': 0.007276120859128549, 'специальн': 0.010914181288692825, 'высш': 0.01364272661086603, 'эт': 0.0436567251547713, 'психиатр': 0.03638060429564275, 'психическ': 0.05457090644346412, 'болезн': 0.05457090644346412, 'диагностик': 0.02728545322173206, 'заболеван': 0.03638060429564275, 'нарушен': 0.03638060429564275, 'головн': 0.08185635966519618, 'мозг': 0.08185635966519618, 'иногд': 0.05457090644346412, 'прошедш': 0.03638060429564275, 'друг': 0.05457090644346412, 'специализац': 0.05457090644346412, 'систем': 0.0727612085912855, 'невр': 0.10914181288692824, '1980': 0.10914181288692824, 'х': 0.10914181288692824, 'гг': 0.10914181288692824, 'невропат': 0.10914181288692824, 'невролог': 0.10914181288692824, 'нервн': 0.10914181288692826, 'центральн': 0.10914181288692824, 'спин': 0.10914181288692824, 'периферическ': 0.10914181288692824, 'волокн': 0.10914181288692824, 'например': 0.05457090644346412, 'опухол': 0.10914181288692824, 'неврит': 0.10914181288692824, 'невралг': 0.10914181288692824, 'инсульт': 0.10914181288692824, 'кровообращен': 0.10914181288692824, 'энцефалит': 0.10914181288692824, 'приступ': 0.10914181288692824, 'эпилепс': 0.10914181288692824, 'мног': 0.05457090644346412, 'сопровожда': 0.10914181288692824, 'изменен': 0.10914181288692824, 'поведен': 0.10914181288692824, 'функционирован': 0.10914181288692824, 'тогд': 0.10914181288692824, 'привлека': 0.10914181288692824, 'психотерапевт': 0.10914181288692824}"
25,Врачебная практика,Врачебная практика (общая врачебная практика) — действия врача по проведению лечебных мероприятий и процедур.,"{'врач': 0.0029497787266737365, 'действ': 0.05457090644346412, 'врачебн': 0.03638060429564275, 'общ': 0.018190302147821375, 'практик': 0.031183375110550925, 'проведен': 0.10914181288692824, 'лечебн': 0.03638060429564275, 'мероприят': 0.10914181288692824, 'процедур': 0.10914181288692824}"
28,Санитар,"Санита́р (в женском роде санита́рка[1]) — младший медицинский работник (лицо низшего медицинского персонала[2]), выполняющий вспомогательные функции в медицинской практике, ранее человек ухаживающий за больными и ранеными на войне[3].","{'медицинск': 0.010914181288692823, '1': 0.007276120859128549, 'рка': 0.05457090644346412, 'род': 0.02728545322173206, 'работник': 0.03638060429564275, 'больн': 0.02728545322173206, 'р': 0.05457090644346412, 'санит': 0.0727612085912855, 'лиц': 0.02728545322173206, 'младш': 0.03638060429564275, 'практик': 0.015591687555275463, '2': 0.018190302147821375, 'человек': 0.02728545322173206, 'функц': 0.05457090644346412, '3': 0.03638060429564275, 'женск': 0.10914181288692824, 'низш': 0.10914181288692824, 'персона': 0.10914181288692824, 'выполня': 0.10914181288692824, 'вспомогательн': 0.10914181288692824, 'ран': 0.10914181288692824, 'ухажива': 0.10914181288692824, 'ранен': 0.10914181288692824, 'войн': 0.10914181288692824}"
29,Медицинская сестра,"Медици́нская сестра́ (медсестра́)[1] — специалист со средним специальным медицинским образованием в области сестринского дела. Медицинская сестра относится к среднему медицинскому персоналу, является младшим специалистом (это указано в дипломе медсестры) по отношению к специалисту — врачу.","{'специалист': 0.01819030214782137, 'област': 0.012126868098547582, 'врач': 0.0029497787266737365, 'явля': 0.01364272661086603, 'медицинск': 0.010914181288692823, 'образован': 0.006420106640407544, 'диплом': 0.05457090644346412, '1': 0.007276120859128549, 'средн': 0.02728545322173206, 'специальн': 0.010914181288692825, 'дел': 0.03638060429564275, 'эт': 0.02182836257738565, 'младш': 0.03638060429564275, 'медиц': 0.03638060429564275, 'нска': 0.10914181288692824, 'сестр': 0.10914181288692824, 'медсестр': 0.10914181288692824, 'сестринск': 0.10914181288692824, 'относ': 0.10914181288692824, 'персонал': 0.10914181288692824, 'указа': 0.10914181288692824, 'отношен': 0.10914181288692824}"
30,Судебно-медицинский эксперт,"Суде́бно-медици́нский экспе́рт — врач, занимающий штатную должность в учреждениях судебно-медицинской экспертизы, прошедший обучение по специальности судебно-медицинская экспертиза и имеющий сертификат специалиста в данной области.","{'специалист': 0.006063434049273791, 'област': 0.012126868098547582, 'врач': 0.0029497787266737365, 'медицинск': 0.007276120859128549, 'занима': 0.01364272661086603, 'должност': 0.018190302147821375, 'специальн': 0.010914181288692825, 'прошедш': 0.03638060429564275, 'обучен': 0.05457090644346412, 'судебн': 0.05457090644346412, 'экспертиз': 0.0727612085912855, 'медиц': 0.03638060429564275, 'суд': 0.10914181288692824, 'бно': 0.10914181288692824, 'нски': 0.05457090644346412, 'эксп': 0.10914181288692824, 'рт': 0.10914181288692824, 'штатн': 0.10914181288692824, 'учрежден': 0.03638060429564275, 'имеющ': 0.05457090644346412, 'сертификат': 0.10914181288692824, 'дан': 0.10914181288692824}"
31,Врач,"Врач — человек, использующий свои навыки, знания и опыт в предупреждении и лечении заболеваний, поддержании нормальной жизнедеятельности организма человека. Во многих странах мира требуется разрешение местных органов власти на деятельность врача, либо соответствующая квалификация, незаконная же деятельность влечёт наказание. В России например, незаконная врачебная деятельность является уголовно наказуемым деянием, в случае если таковая стала причиной существенного вреда.[1] Врач — доктор, медик, также  лицо, получившее высшее медицинское образование по соответствующей специальности (кроме зубных врачей, имеющих средне-специальное медицинское образование (не путайте со стоматологами))[2][3][4][5].","{'соответств': 0.02728545322173206, 'врач': 0.011799114906694946, 'явля': 0.01364272661086603, 'медицинск': 0.007276120859128549, 'получ': 0.015591687555275463, 'образован': 0.012840213280815088, 'лечен': 0.012126868098547582, 'такж': 0.02182836257738565, 'либ': 0.05457090644346412, '1': 0.007276120859128549, 'средн': 0.01364272661086603, 'росс': 0.02728545322173206, 'специальн': 0.02182836257738565, 'медик': 0.018190302147821375, 'квалификац': 0.05457090644346412, 'пута': 0.03638060429564275, 'высш': 0.01364272661086603, 'заболеван': 0.018190302147821375, 'зубн': 0.015591687555275463, 'стоматолог': 0.02728545322173206, 'случа': 0.03638060429564275, 'доктор': 0.02728545322173206, 'стал': 0.05457090644346412, 'врачебн': 0.018190302147821375, 'лиц': 0.02728545322173206, '2': 0.018190302147821375, 'человек': 0.05457090644346412, 'треб': 0.05457090644346412, 'поддержан': 0.05457090644346412, 'организм': 0.05457090644346412, 'навык': 0.05457090644346412, 'использ': 0.05457090644346412, 'стран': 0.03638060429564275, '4': 0.05457090644346412, 'например': 0.05457090644346412, 'мног': 0.05457090644346412, '3': 0.03638060429564275, 'имеющ': 0.05457090644346412, 'сво': 0.10914181288692824, 'знан': 0.10914181288692824, 'оп': 0.10914181288692824, 'предупрежден': 0.10914181288692824, 'нормальн': 0.10914181288692824, 'жизнедеятельн': 0.10914181288692824, 'мир': 0.10914181288692824, 'разрешен': 0.10914181288692824, 'местн': 0.10914181288692824, 'орган': 0.10914181288692824, 'власт': 0.10914181288692824, 'деятельн': 0.10914181288692826, 'соответствующ': 0.10914181288692824, 'незакон': 0.10914181288692824, 'влечет': 0.10914181288692824, 'наказан': 0.10914181288692824, 'уголовн': 0.10914181288692824, 'наказуем': 0.10914181288692824, 'деян': 0.10914181288692824, 'есл': 0.10914181288692824, 'таков': 0.10914181288692824, 'причин': 0.10914181288692824, 'существен': 0.10914181288692824, 'вред': 0.10914181288692824, 'кром': 0.10914181288692824, '5': 0.10914181288692824}"
32,Врач-ординатор,"Ордина́тор (от лат. Ordinator — приводящий в порядок, распорядитель), врач, занимающий должность в лечебно-профилактическом учреждении, заведующий палатами или отделением и занимающийся лечебной и профилактической работой.","{'врач': 0.0029497787266737365, 'занима': 0.02728545322173206, 'должност': 0.018190302147821375, 'ил': 0.007276120859128549, 'работ': 0.03638060429564275, 'тор': 0.05457090644346412, 'лат': 0.02728545322173206, 'лечебн': 0.0727612085912855, 'учрежден': 0.03638060429564275, 'ордин': 0.10914181288692824, 'ordinator': 0.10914181288692824, 'приводя': 0.10914181288692824, 'порядок': 0.10914181288692824, 'распорядител': 0.10914181288692824, 'профилактическ': 0.10914181288692824, 'завед': 0.10914181288692824, 'палат': 0.10914181288692824, 'отделен': 0.10914181288692824}"
