Name,Targ,Tf-Idf,KwFilt
Диетолог,"Дието́лог — специалист в области диетологии, соответствующий академическим и профессиональным требованиям. Врач-диетолог является дипломированным врачом, закончившим медицинский вуз и получившим затем дополнительное образование по диетологии, подтвержденное соответствующим дипломом. Является экспертом в области питания. Врачи-диетологи  занимаются лечением ожирения, а также дают рекомендации пациентам по вопросам правильного питания, ведения здорового образа жизни, либо ставят цели для достижения определённых результатов, связанных со здоровьем.","{'диет': 3.2188758248682006, 'лог': 0.3218875824868201, 'специалист': 0.041415606803781584, 'област': 0.18185223940184106, 'диетолог': 3.2188758248682006, 'соответств': 1.2628643221541278, 'академическ': 3.2188758248682006, 'профессиональн': 1.2628643221541278, 'требован': 3.2188758248682006, 'врач': 0.022686028283057925, 'явля': 0.3218875824868201, 'дипломирова': 3.2188758248682006, 'заканчива': 3.2188758248682006, 'медицинск': 0.041415606803781584, 'вуз': 3.2188758248682006, 'получа': 0.18185223940184106, 'зат': 3.2188758248682006, 'дополнительн': 3.2188758248682006, 'образован': 0.041415606803781584, 'подтвержда': 3.2188758248682006, 'дипл': 1.2628643221541278, 'эксперт': 1.2628643221541278, 'питан': 3.2188758248682006, 'занима': 0.2378527259400243, 'лечен': 0.18185223940184106, 'ожирен': 3.2188758248682006, 'такж': 1.2628643221541278, 'дава': 3.2188758248682006, 'рекомендац': 3.2188758248682006, 'пациент': 0.2378527259400243, 'вопрос': 0.7067545120666969, 'правильн': 3.2188758248682006, 'веден': 3.2188758248682006, 'здоров': 1.2628643221541278, 'образ': 3.2188758248682006, 'жизн': 1.2628643221541278, 'либ': 1.2628643221541278, 'став': 3.2188758248682006, 'цел': 3.2188758248682006, 'достижен': 3.2188758248682006, 'определен': 1.2628643221541278, 'результат': 3.2188758248682006, 'связыва': 1.2628643221541278}","{'диет': 3.2188758248682006, 'лог': 0.3218875824868201, 'специалист': 0.041415606803781584, 'област': 0.18185223940184106, 'диетолог': 3.2188758248682006, 'соответств': 1.2628643221541278, 'академическ': 3.2188758248682006, 'профессиональн': 1.2628643221541278, 'требован': 3.2188758248682006, 'явля': 0.3218875824868201, 'дипломирова': 3.2188758248682006, 'заканчива': 3.2188758248682006, 'медицинск': 0.041415606803781584, 'вуз': 3.2188758248682006, 'получа': 0.18185223940184106, 'зат': 3.2188758248682006, 'дополнительн': 3.2188758248682006, 'образован': 0.041415606803781584, 'подтвержда': 3.2188758248682006, 'дипл': 1.2628643221541278, 'эксперт': 1.2628643221541278, 'питан': 3.2188758248682006, 'занима': 0.2378527259400243, 'лечен': 0.18185223940184106, 'ожирен': 3.2188758248682006, 'такж': 1.2628643221541278, 'дава': 3.2188758248682006, 'рекомендац': 3.2188758248682006, 'пациент': 0.2378527259400243, 'вопрос': 0.7067545120666969, 'правильн': 3.2188758248682006, 'веден': 3.2188758248682006, 'здоров': 1.2628643221541278, 'образ': 3.2188758248682006, 'жизн': 1.2628643221541278, 'либ': 1.2628643221541278, 'став': 3.2188758248682006, 'цел': 3.2188758248682006, 'достижен': 3.2188758248682006, 'определен': 1.2628643221541278, 'результат': 3.2188758248682006, 'связыва': 1.2628643221541278}"
Акушерка,"Акуше́рка (фр. accoucher — помогать при родах[1]) — средний медицинский работник, специалист в акушерстве, оказывающий помощь беременным и роженицам (во время родов). В России для работы акушеркой необходимо получить среднее специальное образование по специальности «Медико-акушерское дело». Квалификации: «акушер(ка)», «фельдшер-акушер». Не следует путать с врачом акушер-гинекологом (высшее медицинское образование).","{'акуш': 1.2628643221541278, 'рка': 1.2628643221541278, 'фр': 3.2188758248682006, 'accoucher': 3.2188758248682006, 'помога': 3.2188758248682006, 'род': 0.7067545120666969, '1': 0.07463459564271185, 'средн': 0.45814536593707755, 'медицинск': 0.041415606803781584, 'работник': 1.2628643221541278, 'специалист': 0.041415606803781584, 'акушерств': 1.2628643221541278, 'оказыва': 3.2188758248682006, 'помощ': 0.45814536593707755, 'беремен': 1.2628643221541278, 'рожениц': 3.2188758248682006, 'врем': 3.2188758248682006, 'росс': 0.7067545120666969, 'работ': 0.7067545120666969, 'акушерк': 3.2188758248682006, 'необходим': 1.2628643221541278, 'получа': 0.18185223940184106, 'специальн': 0.1424292853985456, 'образован': 0.041415606803781584, 'медик': 0.7067545120666969, 'акушерск': 3.2188758248682006, 'дел': 1.2628643221541278, 'квалификац': 1.2628643221541278, 'акушер': 3.2188758248682006, 'ка': 3.2188758248682006, 'фельдшер': 3.2188758248682006, 'следова': 3.2188758248682006, 'пута': 0.7067545120666969, 'врач': 0.022686028283057925, 'гинеколог': 1.2628643221541278, 'высок': 0.18185223940184106}","{'акуш': 1.2628643221541278, 'рка': 1.2628643221541278, 'фр': 3.2188758248682006, 'accoucher': 3.2188758248682006, 'помога': 3.2188758248682006, 'род': 0.7067545120666969, '1': 0.07463459564271185, 'средн': 0.45814536593707755, 'медицинск': 0.041415606803781584, 'работник': 1.2628643221541278, 'специалист': 0.041415606803781584, 'акушерств': 1.2628643221541278, 'оказыва': 3.2188758248682006, 'помощ': 0.45814536593707755, 'беремен': 1.2628643221541278, 'рожениц': 3.2188758248682006, 'врем': 3.2188758248682006, 'росс': 0.7067545120666969, 'работ': 0.7067545120666969, 'акушерк': 3.2188758248682006, 'необходим': 1.2628643221541278, 'получа': 0.18185223940184106, 'специальн': 0.1424292853985456, 'образован': 0.041415606803781584, 'медик': 0.7067545120666969, 'акушерск': 3.2188758248682006, 'дел': 1.2628643221541278, 'квалификац': 1.2628643221541278, 'акушер': 3.2188758248682006, 'ка': 3.2188758248682006, 'фельдшер': 3.2188758248682006, 'следова': 3.2188758248682006, 'пута': 0.7067545120666969, 'гинеколог': 1.2628643221541278, 'высок': 0.18185223940184106}"
Психиатр,"Психиа́тр (др.-греч. ψυχή — душа; ἰατρός — врач) — специалист с высшим образованием в области психиатрии, области медицины, изучающей психические расстройства. В отличие от психологов, не всегда являющихся врачами, психиатры занимаются оценкой симптомов пациентов для определения их следствия из психофизической и физической болезней.","{'псих': 3.2188758248682006, 'тр': 3.2188758248682006, 'др': 1.2628643221541278, 'греч': 1.2628643221541278, 'ψυχή': 3.2188758248682006, 'душ': 3.2188758248682006, 'ἰατρός': 3.2188758248682006, 'врач': 0.022686028283057925, 'специалист': 0.041415606803781584, 'высок': 0.18185223940184106, 'образован': 0.041415606803781584, 'област': 0.18185223940184106, 'психиатр': 1.2628643221541278, 'медицин': 0.7067545120666969, 'изуча': 3.2188758248682006, 'психическ': 1.2628643221541278, 'расстройств': 3.2188758248682006, 'отлич': 1.2628643221541278, 'психолог': 3.2188758248682006, 'всегд': 3.2188758248682006, 'явля': 0.3218875824868201, 'занима': 0.2378527259400243, 'оценк': 3.2188758248682006, 'симпт': 3.2188758248682006, 'пациент': 0.2378527259400243, 'определен': 1.2628643221541278, 'их': 3.2188758248682006, 'следств': 1.2628643221541278, 'психофизическ': 3.2188758248682006, 'физическ': 3.2188758248682006, 'болезн': 1.2628643221541278}","{'псих': 3.2188758248682006, 'тр': 3.2188758248682006, 'др': 1.2628643221541278, 'греч': 1.2628643221541278, 'ψυχή': 3.2188758248682006, 'душ': 3.2188758248682006, 'ἰατρός': 3.2188758248682006, 'специалист': 0.041415606803781584, 'высок': 0.18185223940184106, 'образован': 0.041415606803781584, 'област': 0.18185223940184106, 'психиатр': 1.2628643221541278, 'медицин': 0.7067545120666969, 'изуча': 3.2188758248682006, 'психическ': 1.2628643221541278, 'расстройств': 3.2188758248682006, 'отлич': 1.2628643221541278, 'психолог': 3.2188758248682006, 'всегд': 3.2188758248682006, 'явля': 0.3218875824868201, 'занима': 0.2378527259400243, 'оценк': 3.2188758248682006, 'симпт': 3.2188758248682006, 'пациент': 0.2378527259400243, 'определен': 1.2628643221541278, 'их': 3.2188758248682006, 'следств': 1.2628643221541278, 'психофизическ': 3.2188758248682006, 'физическ': 3.2188758248682006, 'болезн': 1.2628643221541278}"
Хирург,"Хиру́рг (др.-греч. χερί — рука + др.-греч. ἔργον — работа, действие) — врач-специалист, получивший подготовку по методам диагностики и хирургического лечения заболеваний и травм[1].","{'хир': 3.2188758248682006, 'рг': 3.2188758248682006, 'др': 1.2628643221541278, 'греч': 1.2628643221541278, 'χερί': 3.2188758248682006, 'рук': 3.2188758248682006, 'ἔργον': 3.2188758248682006, 'работ': 0.7067545120666969, 'действ': 1.2628643221541278, 'врач': 0.022686028283057925, 'специалист': 0.041415606803781584, 'получа': 0.18185223940184106, 'подготовк': 0.7067545120666969, 'метод': 3.2188758248682006, 'диагностик': 0.45814536593707755, 'хирургическ': 3.2188758248682006, 'лечен': 0.18185223940184106, 'заболеван': 0.45814536593707755, 'травм': 0.7067545120666969, '1': 0.07463459564271185}","{'хир': 3.2188758248682006, 'рг': 3.2188758248682006, 'др': 1.2628643221541278, 'греч': 1.2628643221541278, 'χερί': 3.2188758248682006, 'рук': 3.2188758248682006, 'ἔργον': 3.2188758248682006, 'работ': 0.7067545120666969, 'действ': 1.2628643221541278, 'специалист': 0.041415606803781584, 'получа': 0.18185223940184106, 'подготовк': 0.7067545120666969, 'метод': 3.2188758248682006, 'диагностик': 0.45814536593707755, 'хирургическ': 3.2188758248682006, 'лечен': 0.18185223940184106, 'заболеван': 0.45814536593707755, 'травм': 0.7067545120666969, '1': 0.07463459564271185}"
Отоневролог,"Отоневролог - это врач, который специализируется на нарушениях вестибулярного аппарата, появившихся в следствие воспалительного процесса головного мозга, черепно-мозговой травмы или заболеваний.","{'отоневролог': 3.2188758248682006, 'эт': 0.7067545120666969, 'врач': 0.022686028283057925, 'котор': 0.45814536593707755, 'специализирова': 3.2188758248682006, 'нарушен': 1.2628643221541278, 'вестибулярн': 3.2188758248682006, 'аппарат': 3.2188758248682006, 'появля': 3.2188758248682006, 'следств': 1.2628643221541278, 'воспалительн': 3.2188758248682006, 'процесс': 1.2628643221541278, 'головн': 1.2628643221541278, 'мозг': 1.2628643221541278, 'черепн': 3.2188758248682006, 'мозгов': 3.2188758248682006, 'травм': 0.7067545120666969, 'ил': 0.11351680528133123, 'заболеван': 0.45814536593707755}","{'отоневролог': 3.2188758248682006, 'эт': 0.7067545120666969, 'котор': 0.45814536593707755, 'специализирова': 3.2188758248682006, 'нарушен': 1.2628643221541278, 'вестибулярн': 3.2188758248682006, 'аппарат': 3.2188758248682006, 'появля': 3.2188758248682006, 'следств': 1.2628643221541278, 'воспалительн': 3.2188758248682006, 'процесс': 1.2628643221541278, 'головн': 1.2628643221541278, 'мозг': 1.2628643221541278, 'черепн': 3.2188758248682006, 'мозгов': 3.2188758248682006, 'травм': 0.7067545120666969, 'ил': 0.11351680528133123, 'заболеван': 0.45814536593707755}"
Физиотерапевт,"Физиотерапе́вт — специалист с профессиональным образованием, который восстанавливает или сохраняет нарушенную двигательную способность и дееспособность пациента.","{'физиотерап': 3.2188758248682006, 'вт': 3.2188758248682006, 'специалист': 0.041415606803781584, 'профессиональн': 1.2628643221541278, 'образован': 0.041415606803781584, 'котор': 0.45814536593707755, 'восстанавлива': 3.2188758248682006, 'ил': 0.11351680528133123, 'сохраня': 3.2188758248682006, 'наруша': 3.2188758248682006, 'двигательн': 3.2188758248682006, 'способн': 3.2188758248682006, 'дееспособн': 3.2188758248682006, 'пациент': 0.2378527259400243}","{'физиотерап': 3.2188758248682006, 'вт': 3.2188758248682006, 'специалист': 0.041415606803781584, 'профессиональн': 1.2628643221541278, 'образован': 0.041415606803781584, 'котор': 0.45814536593707755, 'восстанавлива': 3.2188758248682006, 'ил': 0.11351680528133123, 'сохраня': 3.2188758248682006, 'наруша': 3.2188758248682006, 'двигательн': 3.2188758248682006, 'способн': 3.2188758248682006, 'дееспособн': 3.2188758248682006, 'пациент': 0.2378527259400243}"
Зубной техник,"Зубной техник — одна из профессий в современной стоматологии, входит в понятие дантист. Зубных техников часто путают с зубными врачами или стоматологами. Однако в отличие от стоматологов или зубных врачей, зубной техник не встречается с пациентами. Иногда в исключительных случаях такая встреча бывает необходима. Чаще всего пациенты стоматологических клиник попадают в зуботехническую лабораторию для коррекции цвета зубных протезов, для замены матриц аттачменов в бюгельных протезах или для починки съёмного протеза.","{'зубн': 1.2628643221541278, 'техник': 3.2188758248682006, 'професс': 1.2628643221541278, 'современ': 1.2628643221541278, 'стоматолог': 1.2628643221541278, 'вход': 1.2628643221541278, 'понят': 3.2188758248682006, 'дантист': 3.2188758248682006, 'част': 3.2188758248682006, 'пута': 0.7067545120666969, 'врач': 0.022686028283057925, 'ил': 0.11351680528133123, 'однак': 3.2188758248682006, 'отлич': 1.2628643221541278, 'встреча': 3.2188758248682006, 'пациент': 0.2378527259400243, 'иногд': 1.2628643221541278, 'исключительн': 3.2188758248682006, 'случа': 0.7067545120666969, 'встреч': 3.2188758248682006, 'быва': 3.2188758248682006, 'необходим': 1.2628643221541278, 'стоматологическ': 3.2188758248682006, 'клиник': 3.2188758248682006, 'попада': 3.2188758248682006, 'зуботехническ': 3.2188758248682006, 'лаборатор': 3.2188758248682006, 'коррекц': 3.2188758248682006, 'цвет': 3.2188758248682006, 'протез': 3.2188758248682006, 'зам': 3.2188758248682006, 'матриц': 3.2188758248682006, 'аттачмен': 3.2188758248682006, 'бюгельн': 3.2188758248682006, 'починк': 3.2188758248682006, 'съемн': 3.2188758248682006}","{'зубн': 1.2628643221541278, 'техник': 3.2188758248682006, 'професс': 1.2628643221541278, 'современ': 1.2628643221541278, 'стоматолог': 1.2628643221541278, 'вход': 1.2628643221541278, 'понят': 3.2188758248682006, 'дантист': 3.2188758248682006, 'част': 3.2188758248682006, 'пута': 0.7067545120666969, 'ил': 0.11351680528133123, 'однак': 3.2188758248682006, 'отлич': 1.2628643221541278, 'встреча': 3.2188758248682006, 'пациент': 0.2378527259400243, 'иногд': 1.2628643221541278, 'исключительн': 3.2188758248682006, 'случа': 0.7067545120666969, 'встреч': 3.2188758248682006, 'быва': 3.2188758248682006, 'необходим': 1.2628643221541278, 'стоматологическ': 3.2188758248682006, 'клиник': 3.2188758248682006, 'попада': 3.2188758248682006, 'зуботехническ': 3.2188758248682006, 'лаборатор': 3.2188758248682006, 'коррекц': 3.2188758248682006, 'цвет': 3.2188758248682006, 'протез': 3.2188758248682006, 'зам': 3.2188758248682006, 'матриц': 3.2188758248682006, 'аттачмен': 3.2188758248682006, 'бюгельн': 3.2188758248682006, 'починк': 3.2188758248682006, 'съемн': 3.2188758248682006}"
Акушер-гинеколог,"Акуше́р-гинеко́лог — врач специалист, получивший специальную подготовку по вопросам акушерства и гинекологии, профилактики и лечения гинекологической патологии, медицинского наблюдения за течением беременности, оказания врачебной помощи в процессе родов и в послеродовом периоде[1]. В двух словах, врач, контролирующий процесс вынашивания и рождения ребёнка и несущий ответственность за здоровье плода и его мамы.","{'акуш': 1.2628643221541278, 'р': 1.2628643221541278, 'гинек': 3.2188758248682006, 'лог': 0.3218875824868201, 'врач': 0.022686028283057925, 'специалист': 0.041415606803781584, 'получа': 0.18185223940184106, 'специальн': 0.1424292853985456, 'подготовк': 0.7067545120666969, 'вопрос': 0.7067545120666969, 'акушерств': 1.2628643221541278, 'гинеколог': 1.2628643221541278, 'профилактик': 1.2628643221541278, 'лечен': 0.18185223940184106, 'гинекологическ': 3.2188758248682006, 'патолог': 1.2628643221541278, 'медицинск': 0.041415606803781584, 'наблюден': 3.2188758248682006, 'течен': 3.2188758248682006, 'беремен': 1.2628643221541278, 'оказан': 0.7067545120666969, 'врачебн': 0.45814536593707755, 'помощ': 0.45814536593707755, 'процесс': 1.2628643221541278, 'род': 0.7067545120666969, 'послеродов': 3.2188758248682006, 'период': 3.2188758248682006, '1': 0.07463459564271185, 'слов': 3.2188758248682006, 'контролирова': 3.2188758248682006, 'вынашиван': 3.2188758248682006, 'рожден': 3.2188758248682006, 'ребенок': 3.2188758248682006, 'несущ': 3.2188758248682006, 'ответствен': 1.2628643221541278, 'здоров': 1.2628643221541278, 'плод': 3.2188758248682006, 'ег': 3.2188758248682006, 'мам': 3.2188758248682006}","{'акуш': 1.2628643221541278, 'р': 1.2628643221541278, 'гинек': 3.2188758248682006, 'лог': 0.3218875824868201, 'специалист': 0.041415606803781584, 'получа': 0.18185223940184106, 'специальн': 0.1424292853985456, 'подготовк': 0.7067545120666969, 'вопрос': 0.7067545120666969, 'акушерств': 1.2628643221541278, 'гинеколог': 1.2628643221541278, 'профилактик': 1.2628643221541278, 'лечен': 0.18185223940184106, 'гинекологическ': 3.2188758248682006, 'патолог': 1.2628643221541278, 'медицинск': 0.041415606803781584, 'наблюден': 3.2188758248682006, 'течен': 3.2188758248682006, 'беремен': 1.2628643221541278, 'оказан': 0.7067545120666969, 'врачебн': 0.45814536593707755, 'помощ': 0.45814536593707755, 'процесс': 1.2628643221541278, 'род': 0.7067545120666969, 'послеродов': 3.2188758248682006, 'период': 3.2188758248682006, '1': 0.07463459564271185, 'слов': 3.2188758248682006, 'контролирова': 3.2188758248682006, 'вынашиван': 3.2188758248682006, 'рожден': 3.2188758248682006, 'ребенок': 3.2188758248682006, 'несущ': 3.2188758248682006, 'ответствен': 1.2628643221541278, 'здоров': 1.2628643221541278, 'плод': 3.2188758248682006, 'ег': 3.2188758248682006, 'мам': 3.2188758248682006}"
Санинструктор,"Санита́рный инстру́ктор (сокращённо санинстру́ктор; ВУС – 878659А, состав категории учёта (должность) – сержанты) — лицо младшего медицинского состава военно-медицинской службы, прошедшее специальную военно-медицинскую подготовку (в учебном подразделении), и ответственное за медицинское обеспечение роты или батареи.","{'санит': 1.2628643221541278, 'рны': 3.2188758248682006, 'инстр': 3.2188758248682006, 'ктор': 3.2188758248682006, 'сокращен': 3.2188758248682006, 'санинстр': 3.2188758248682006, 'вус': 3.2188758248682006, '878659а': 3.2188758248682006, 'соста': 3.2188758248682006, 'категор': 3.2188758248682006, 'учет': 3.2188758248682006, 'должност': 0.7067545120666969, 'сержант': 3.2188758248682006, 'лиц': 0.45814536593707755, 'младш': 0.7067545120666969, 'медицинск': 0.041415606803781584, 'воен': 1.2628643221541278, 'служб': 1.2628643221541278, 'проход': 0.7067545120666969, 'специальн': 0.1424292853985456, 'подготовк': 0.7067545120666969, 'учебн': 3.2188758248682006, 'подразделен': 1.2628643221541278, 'ответствен': 1.2628643221541278, 'обеспечен': 3.2188758248682006, 'рот': 3.2188758248682006, 'ил': 0.11351680528133123, 'батаре': 3.2188758248682006}","{'санит': 1.2628643221541278, 'рны': 3.2188758248682006, 'инстр': 3.2188758248682006, 'ктор': 3.2188758248682006, 'сокращен': 3.2188758248682006, 'санинстр': 3.2188758248682006, 'вус': 3.2188758248682006, '878659а': 3.2188758248682006, 'соста': 3.2188758248682006, 'категор': 3.2188758248682006, 'учет': 3.2188758248682006, 'должност': 0.7067545120666969, 'сержант': 3.2188758248682006, 'лиц': 0.45814536593707755, 'младш': 0.7067545120666969, 'медицинск': 0.041415606803781584, 'воен': 1.2628643221541278, 'служб': 1.2628643221541278, 'проход': 0.7067545120666969, 'специальн': 0.1424292853985456, 'подготовк': 0.7067545120666969, 'учебн': 3.2188758248682006, 'подразделен': 1.2628643221541278, 'ответствен': 1.2628643221541278, 'обеспечен': 3.2188758248682006, 'рот': 3.2188758248682006, 'ил': 0.11351680528133123, 'батаре': 3.2188758248682006}"
Врач общей практики,Врач общей практики — специалист в области общей медицины. В России врачом общей практики может быть только специалист с высшим медицинским образованием. Разновидностью врача общей практики является семейный врач. Задачей врача общей практики является оказание первичной врачебной помощи[1][2].,"{'врач': 0.022686028283057925, 'общ': 1.2628643221541278, 'практик': 0.7067545120666969, 'специалист': 0.041415606803781584, 'област': 0.18185223940184106, 'медицин': 0.7067545120666969, 'росс': 0.7067545120666969, 'моч': 1.2628643221541278, 'быт': 3.2188758248682006, 'тольк': 3.2188758248682006, 'высок': 0.18185223940184106, 'медицинск': 0.041415606803781584, 'образован': 0.041415606803781584, 'разновидн': 3.2188758248682006, 'явля': 0.3218875824868201, 'семейн': 3.2188758248682006, 'задач': 3.2188758248682006, 'оказан': 0.7067545120666969, 'первичн': 3.2188758248682006, 'врачебн': 0.45814536593707755, 'помощ': 0.45814536593707755, '1': 0.07463459564271185, '2': 0.3218875824868201}","{'общ': 1.2628643221541278, 'практик': 0.7067545120666969, 'специалист': 0.041415606803781584, 'област': 0.18185223940184106, 'медицин': 0.7067545120666969, 'росс': 0.7067545120666969, 'моч': 1.2628643221541278, 'быт': 3.2188758248682006, 'тольк': 3.2188758248682006, 'высок': 0.18185223940184106, 'медицинск': 0.041415606803781584, 'образован': 0.041415606803781584, 'разновидн': 3.2188758248682006, 'явля': 0.3218875824868201, 'семейн': 3.2188758248682006, 'задач': 3.2188758248682006, 'оказан': 0.7067545120666969, 'первичн': 3.2188758248682006, 'врачебн': 0.45814536593707755, 'помощ': 0.45814536593707755, '1': 0.07463459564271185, '2': 0.3218875824868201}"
Фельдшер,"Фе́льдшер (нем. Feldscher[1]) — специалист со средним специальным медицинским образованием, который имеет право проводить диагностику и устанавливать диагноз, проводить самостоятельное лечение или направлять пациента к врачу-специалисту. Нестроевой средний медицинский чин в Русской Императорской Армии[2].","{'фе': 3.2188758248682006, 'льдшер': 3.2188758248682006, 'нем': 1.2628643221541278, 'feldscher': 3.2188758248682006, '1': 0.07463459564271185, 'специалист': 0.041415606803781584, 'средн': 0.45814536593707755, 'специальн': 0.1424292853985456, 'медицинск': 0.041415606803781584, 'образован': 0.041415606803781584, 'котор': 0.45814536593707755, 'имет': 0.45814536593707755, 'прав': 1.2628643221541278, 'провод': 3.2188758248682006, 'диагностик': 0.45814536593707755, 'устанавлива': 3.2188758248682006, 'диагноз': 3.2188758248682006, 'провожа': 3.2188758248682006, 'самостоятельн': 3.2188758248682006, 'лечен': 0.18185223940184106, 'ил': 0.11351680528133123, 'направля': 3.2188758248682006, 'пациент': 0.2378527259400243, 'врач': 0.022686028283057925, 'нестроев': 3.2188758248682006, 'чин': 3.2188758248682006, 'русск': 3.2188758248682006, 'императорск': 3.2188758248682006, 'арм': 3.2188758248682006, '2': 0.3218875824868201}","{'фе': 3.2188758248682006, 'льдшер': 3.2188758248682006, 'нем': 1.2628643221541278, 'feldscher': 3.2188758248682006, '1': 0.07463459564271185, 'специалист': 0.041415606803781584, 'средн': 0.45814536593707755, 'специальн': 0.1424292853985456, 'медицинск': 0.041415606803781584, 'образован': 0.041415606803781584, 'котор': 0.45814536593707755, 'имет': 0.45814536593707755, 'прав': 1.2628643221541278, 'провод': 3.2188758248682006, 'диагностик': 0.45814536593707755, 'устанавлива': 3.2188758248682006, 'диагноз': 3.2188758248682006, 'провожа': 3.2188758248682006, 'самостоятельн': 3.2188758248682006, 'лечен': 0.18185223940184106, 'ил': 0.11351680528133123, 'направля': 3.2188758248682006, 'пациент': 0.2378527259400243, 'нестроев': 3.2188758248682006, 'чин': 3.2188758248682006, 'русск': 3.2188758248682006, 'императорск': 3.2188758248682006, 'арм': 3.2188758248682006, '2': 0.3218875824868201}"
Провизор,"Прови́зор (лат. pro - ""пред"" visor - ""вижу"", предвидящий, заготавливающий) — специалист с высшим фармацевтическим образованием, работающий в сфере производства, хранения и продажи лекарственных препаратов.","{'пров': 3.2188758248682006, 'зор': 3.2188758248682006, 'лат': 1.2628643221541278, 'pro': 3.2188758248682006, 'пред': 3.2188758248682006, 'visor': 3.2188758248682006, 'видет': 3.2188758248682006, 'предвидет': 3.2188758248682006, 'заготовля': 3.2188758248682006, 'специалист': 0.041415606803781584, 'высок': 0.18185223940184106, 'фармацевтическ': 3.2188758248682006, 'образован': 0.041415606803781584, 'работа': 1.2628643221541278, 'сфер': 3.2188758248682006, 'производств': 3.2188758248682006, 'хранен': 3.2188758248682006, 'продаж': 3.2188758248682006, 'лекарствен': 3.2188758248682006, 'препарат': 3.2188758248682006}","{'пров': 3.2188758248682006, 'зор': 3.2188758248682006, 'лат': 1.2628643221541278, 'pro': 3.2188758248682006, 'пред': 3.2188758248682006, 'visor': 3.2188758248682006, 'видет': 3.2188758248682006, 'предвидет': 3.2188758248682006, 'заготовля': 3.2188758248682006, 'специалист': 0.041415606803781584, 'высок': 0.18185223940184106, 'фармацевтическ': 3.2188758248682006, 'образован': 0.041415606803781584, 'работа': 1.2628643221541278, 'сфер': 3.2188758248682006, 'производств': 3.2188758248682006, 'хранен': 3.2188758248682006, 'продаж': 3.2188758248682006, 'лекарствен': 3.2188758248682006, 'препарат': 3.2188758248682006}"
