Name,Targ,Tf-Idf,KwFilt
Сиделка,"Сиделка — профессия, предполагающая уход за больным человеком, инвалидом, престарелым, утратившим возможность к самообслуживанию. Не требует медицинского образования.","{'сиделк': 3.2188758248682006, 'професс': 1.2628643221541278, 'предполага': 3.2188758248682006, 'уход': 3.2188758248682006, 'больн': 1.2628643221541278, 'человек': 0.7067545120666969, 'инвалид': 3.2188758248682006, 'престарел': 3.2188758248682006, 'утрачива': 3.2188758248682006, 'возможн': 3.2188758248682006, 'самообслуживан': 3.2188758248682006, 'требова': 1.2628643221541278, 'медицинск': 0.041415606803781584, 'образован': 0.041415606803781584}","{'сиделк': 3.2188758248682006, 'професс': 1.2628643221541278, 'предполага': 3.2188758248682006, 'уход': 3.2188758248682006, 'больн': 1.2628643221541278, 'человек': 0.7067545120666969, 'инвалид': 3.2188758248682006, 'престарел': 3.2188758248682006, 'утрачива': 3.2188758248682006, 'возможн': 3.2188758248682006, 'самообслуживан': 3.2188758248682006, 'требова': 1.2628643221541278, 'медицинск': 0.041415606803781584, 'образован': 0.041415606803781584}"
Врач анестезиолог-реаниматолог,"Врач анестезио́лог-реанимато́лог — специалист с высшим медицинским образованием (врач), занимающийся поддержанием и восстановлением жизненно важных функций организма при угрожающих жизни состояниях.","{'врач': 0.022686028283057925, 'анестез': 3.2188758248682006, 'лог': 0.3218875824868201, 'реанимат': 3.2188758248682006, 'специалист': 0.041415606803781584, 'высок': 0.18185223940184106, 'медицинск': 0.041415606803781584, 'образован': 0.041415606803781584, 'занима': 0.2378527259400243, 'поддержан': 1.2628643221541278, 'восстановлен': 3.2188758248682006, 'жизнен': 3.2188758248682006, 'важн': 3.2188758248682006, 'функц': 1.2628643221541278, 'организм': 1.2628643221541278, 'угрожа': 3.2188758248682006, 'жизн': 1.2628643221541278, 'состоян': 3.2188758248682006}","{'анестез': 3.2188758248682006, 'лог': 0.3218875824868201, 'реанимат': 3.2188758248682006, 'специалист': 0.041415606803781584, 'высок': 0.18185223940184106, 'медицинск': 0.041415606803781584, 'образован': 0.041415606803781584, 'занима': 0.2378527259400243, 'поддержан': 1.2628643221541278, 'восстановлен': 3.2188758248682006, 'жизнен': 3.2188758248682006, 'важн': 3.2188758248682006, 'функц': 1.2628643221541278, 'организм': 1.2628643221541278, 'угрожа': 3.2188758248682006, 'жизн': 1.2628643221541278, 'состоян': 3.2188758248682006}"
Парамедик,"Параме́дик (англ. paramedic) — специалист с медицинским образованием, работающий в службе скорой медицинской помощи, аварийно-спасательных и военных подразделениях и обладающий навыками оказания экстренной медицинской помощи на догоспитальном этапе. Термин используется преимущественно в странах с англо-американской моделью экстренной помощи[1]. В зависимости от страны или ее региона, срок обучения лиц, которых называют парамедиками может отличаться и колеблется от нескольких месяцев до 4 лет[1][2].","{'пар': 3.2188758248682006, 'дик': 3.2188758248682006, 'англ': 3.2188758248682006, 'paramedic': 3.2188758248682006, 'специалист': 0.041415606803781584, 'медицинск': 0.041415606803781584, 'образован': 0.041415606803781584, 'работа': 1.2628643221541278, 'служб': 1.2628643221541278, 'скор': 3.2188758248682006, 'помощ': 0.45814536593707755, 'аварийн': 3.2188758248682006, 'спасательн': 3.2188758248682006, 'воен': 1.2628643221541278, 'подразделен': 1.2628643221541278, 'облада': 3.2188758248682006, 'навык': 1.2628643221541278, 'оказан': 0.7067545120666969, 'экстрен': 3.2188758248682006, 'догоспитальн': 3.2188758248682006, 'этап': 3.2188758248682006, 'термин': 3.2188758248682006, 'использова': 1.2628643221541278, 'преимуществен': 3.2188758248682006, 'стран': 1.2628643221541278, 'американск': 3.2188758248682006, 'модел': 3.2188758248682006, '1': 0.07463459564271185, 'зависим': 3.2188758248682006, 'ил': 0.11351680528133123, 'регион': 3.2188758248682006, 'срок': 3.2188758248682006, 'обучен': 1.2628643221541278, 'лиц': 0.45814536593707755, 'котор': 0.45814536593707755, 'называ': 3.2188758248682006, 'парамедик': 3.2188758248682006, 'моч': 1.2628643221541278, 'отлича': 3.2188758248682006, 'колеба': 3.2188758248682006, 'нескольк': 3.2188758248682006, 'месяц': 3.2188758248682006, '4': 1.2628643221541278, 'год': 3.2188758248682006, '2': 0.3218875824868201}","{'пар': 3.2188758248682006, 'дик': 3.2188758248682006, 'англ': 3.2188758248682006, 'paramedic': 3.2188758248682006, 'специалист': 0.041415606803781584, 'медицинск': 0.041415606803781584, 'образован': 0.041415606803781584, 'работа': 1.2628643221541278, 'служб': 1.2628643221541278, 'скор': 3.2188758248682006, 'помощ': 0.45814536593707755, 'аварийн': 3.2188758248682006, 'спасательн': 3.2188758248682006, 'воен': 1.2628643221541278, 'подразделен': 1.2628643221541278, 'облада': 3.2188758248682006, 'навык': 1.2628643221541278, 'оказан': 0.7067545120666969, 'экстрен': 3.2188758248682006, 'догоспитальн': 3.2188758248682006, 'этап': 3.2188758248682006, 'термин': 3.2188758248682006, 'использова': 1.2628643221541278, 'преимуществен': 3.2188758248682006, 'стран': 1.2628643221541278, 'американск': 3.2188758248682006, 'модел': 3.2188758248682006, '1': 0.07463459564271185, 'зависим': 3.2188758248682006, 'ил': 0.11351680528133123, 'регион': 3.2188758248682006, 'срок': 3.2188758248682006, 'обучен': 1.2628643221541278, 'лиц': 0.45814536593707755, 'котор': 0.45814536593707755, 'называ': 3.2188758248682006, 'парамедик': 3.2188758248682006, 'моч': 1.2628643221541278, 'отлича': 3.2188758248682006, 'колеба': 3.2188758248682006, 'нескольк': 3.2188758248682006, 'месяц': 3.2188758248682006, '4': 1.2628643221541278, 'год': 3.2188758248682006, '2': 0.3218875824868201}"
Эндокринолог,"Эндокрино́лог —  врач, получивший специализацию по вопросам диагностики, профилактики и лечения патологии эндокринной системы в интернатуре, ординатуре или на кафедре института последипломного образования врачей.","{'эндокрин': 3.2188758248682006, 'лог': 0.3218875824868201, 'врач': 0.022686028283057925, 'получа': 0.18185223940184106, 'специализац': 1.2628643221541278, 'вопрос': 0.7067545120666969, 'диагностик': 0.45814536593707755, 'профилактик': 1.2628643221541278, 'лечен': 0.18185223940184106, 'патолог': 1.2628643221541278, 'систем': 1.2628643221541278, 'интернатур': 3.2188758248682006, 'ординатур': 3.2188758248682006, 'ил': 0.11351680528133123, 'кафедр': 3.2188758248682006, 'институт': 3.2188758248682006, 'последипломн': 3.2188758248682006, 'образован': 0.041415606803781584}","{'эндокрин': 3.2188758248682006, 'лог': 0.3218875824868201, 'получа': 0.18185223940184106, 'специализац': 1.2628643221541278, 'вопрос': 0.7067545120666969, 'диагностик': 0.45814536593707755, 'профилактик': 1.2628643221541278, 'лечен': 0.18185223940184106, 'патолог': 1.2628643221541278, 'систем': 1.2628643221541278, 'интернатур': 3.2188758248682006, 'ординатур': 3.2188758248682006, 'ил': 0.11351680528133123, 'кафедр': 3.2188758248682006, 'институт': 3.2188758248682006, 'последипломн': 3.2188758248682006, 'образован': 0.041415606803781584}"
Судебный медик,"Судебный медик — квалифицированный эксперт в области судебной медицины, в чьи обязанности входит расследование случаев смертей и травм, происходящих при необычных или подозрительных обстоятельствах, выполнение посмертной экспертизы. В некоторых государствах имеет право инициировать дознание.[1]","{'судебн': 1.2628643221541278, 'медик': 0.7067545120666969, 'квалифицирова': 3.2188758248682006, 'эксперт': 1.2628643221541278, 'област': 0.18185223940184106, 'медицин': 0.7067545120666969, 'че': 3.2188758248682006, 'обязан': 3.2188758248682006, 'вход': 1.2628643221541278, 'расследован': 3.2188758248682006, 'случа': 0.7067545120666969, 'смерт': 3.2188758248682006, 'травм': 0.7067545120666969, 'происход': 3.2188758248682006, 'необычн': 3.2188758248682006, 'ил': 0.11351680528133123, 'подозрительн': 3.2188758248682006, 'обстоятельств': 3.2188758248682006, 'выполнен': 3.2188758248682006, 'посмертн': 3.2188758248682006, 'экспертиз': 1.2628643221541278, 'некотор': 3.2188758248682006, 'государств': 3.2188758248682006, 'имет': 0.45814536593707755, 'прав': 1.2628643221541278, 'инициирова': 3.2188758248682006, 'дознан': 3.2188758248682006, '1': 0.07463459564271185}","{'судебн': 1.2628643221541278, 'медик': 0.7067545120666969, 'квалифицирова': 3.2188758248682006, 'эксперт': 1.2628643221541278, 'област': 0.18185223940184106, 'медицин': 0.7067545120666969, 'че': 3.2188758248682006, 'обязан': 3.2188758248682006, 'вход': 1.2628643221541278, 'расследован': 3.2188758248682006, 'случа': 0.7067545120666969, 'смерт': 3.2188758248682006, 'травм': 0.7067545120666969, 'происход': 3.2188758248682006, 'необычн': 3.2188758248682006, 'ил': 0.11351680528133123, 'подозрительн': 3.2188758248682006, 'обстоятельств': 3.2188758248682006, 'выполнен': 3.2188758248682006, 'посмертн': 3.2188758248682006, 'экспертиз': 1.2628643221541278, 'некотор': 3.2188758248682006, 'государств': 3.2188758248682006, 'имет': 0.45814536593707755, 'прав': 1.2628643221541278, 'инициирова': 3.2188758248682006, 'дознан': 3.2188758248682006, '1': 0.07463459564271185}"
Аптекарь,"Апте́карь (нем. Apotheker) — специалист в области лекарств, современное название — фармацевт.","{'апт': 3.2188758248682006, 'кар': 3.2188758248682006, 'нем': 1.2628643221541278, 'apotheker': 3.2188758248682006, 'специалист': 0.041415606803781584, 'област': 0.18185223940184106, 'лекарств': 3.2188758248682006, 'современ': 1.2628643221541278, 'назван': 3.2188758248682006, 'фармацевт': 3.2188758248682006}","{'апт': 3.2188758248682006, 'кар': 3.2188758248682006, 'нем': 1.2628643221541278, 'apotheker': 3.2188758248682006, 'специалист': 0.041415606803781584, 'област': 0.18185223940184106, 'лекарств': 3.2188758248682006, 'современ': 1.2628643221541278, 'назван': 3.2188758248682006, 'фармацевт': 3.2188758248682006}"
Невролог,"Невро́лог (до 1980-х гг. — невропато́лог[1]) — врач, получивший высшее медицинское образование и прошедший специализацию по специальности неврология. Невролог занимается диагностикой и лечением болезней, связанных с нервной системой. Это заболевания центральной (головной и спинной мозг) и периферической нервной системы (нервные волокна). Например: опухоли головного и спинного мозга, невриты, невралгии, инсульты и другие нарушения кровообращения головного мозга, энцефалиты, приступы эпилепсии. Многие из этих заболеваний сопровождаются изменением поведения и психического функционирования, тогда к лечению таких пациентов привлекаются психиатры и иногда психотерапевты.","{'невр': 3.2188758248682006, 'лог': 0.3218875824868201, '1980': 3.2188758248682006, 'х': 3.2188758248682006, 'гг': 3.2188758248682006, 'невропат': 3.2188758248682006, '1': 0.07463459564271185, 'врач': 0.022686028283057925, 'получа': 0.18185223940184106, 'высок': 0.18185223940184106, 'медицинск': 0.041415606803781584, 'образован': 0.041415606803781584, 'проход': 0.7067545120666969, 'специализац': 1.2628643221541278, 'специальн': 0.1424292853985456, 'невролог': 3.2188758248682006, 'занима': 0.2378527259400243, 'диагностик': 0.45814536593707755, 'лечен': 0.18185223940184106, 'болезн': 1.2628643221541278, 'связыва': 1.2628643221541278, 'нервн': 3.2188758248682006, 'систем': 1.2628643221541278, 'эт': 0.7067545120666969, 'заболеван': 0.45814536593707755, 'центральн': 3.2188758248682006, 'головн': 1.2628643221541278, 'спин': 3.2188758248682006, 'мозг': 1.2628643221541278, 'периферическ': 3.2188758248682006, 'волокн': 3.2188758248682006, 'например': 1.2628643221541278, 'опухол': 3.2188758248682006, 'невралг': 3.2188758248682006, 'инсульт': 3.2188758248682006, 'друг': 3.2188758248682006, 'нарушен': 1.2628643221541278, 'кровообращен': 3.2188758248682006, 'энцефал': 3.2188758248682006, 'приступ': 3.2188758248682006, 'эпилепс': 3.2188758248682006, 'мног': 1.2628643221541278, 'сопровожда': 3.2188758248682006, 'изменен': 3.2188758248682006, 'поведен': 3.2188758248682006, 'психическ': 1.2628643221541278, 'функционирован': 3.2188758248682006, 'тогд': 3.2188758248682006, 'пациент': 0.2378527259400243, 'привлека': 3.2188758248682006, 'психиатр': 1.2628643221541278, 'иногд': 1.2628643221541278, 'психотерапевт': 3.2188758248682006}","{'невр': 3.2188758248682006, 'лог': 0.3218875824868201, '1980': 3.2188758248682006, 'х': 3.2188758248682006, 'гг': 3.2188758248682006, 'невропат': 3.2188758248682006, '1': 0.07463459564271185, 'получа': 0.18185223940184106, 'высок': 0.18185223940184106, 'медицинск': 0.041415606803781584, 'образован': 0.041415606803781584, 'проход': 0.7067545120666969, 'специализац': 1.2628643221541278, 'специальн': 0.1424292853985456, 'невролог': 3.2188758248682006, 'занима': 0.2378527259400243, 'диагностик': 0.45814536593707755, 'лечен': 0.18185223940184106, 'болезн': 1.2628643221541278, 'связыва': 1.2628643221541278, 'нервн': 3.2188758248682006, 'систем': 1.2628643221541278, 'эт': 0.7067545120666969, 'заболеван': 0.45814536593707755, 'центральн': 3.2188758248682006, 'головн': 1.2628643221541278, 'спин': 3.2188758248682006, 'мозг': 1.2628643221541278, 'периферическ': 3.2188758248682006, 'волокн': 3.2188758248682006, 'например': 1.2628643221541278, 'опухол': 3.2188758248682006, 'невралг': 3.2188758248682006, 'инсульт': 3.2188758248682006, 'друг': 3.2188758248682006, 'нарушен': 1.2628643221541278, 'кровообращен': 3.2188758248682006, 'энцефал': 3.2188758248682006, 'приступ': 3.2188758248682006, 'эпилепс': 3.2188758248682006, 'мног': 1.2628643221541278, 'сопровожда': 3.2188758248682006, 'изменен': 3.2188758248682006, 'поведен': 3.2188758248682006, 'психическ': 1.2628643221541278, 'функционирован': 3.2188758248682006, 'тогд': 3.2188758248682006, 'пациент': 0.2378527259400243, 'привлека': 3.2188758248682006, 'психиатр': 1.2628643221541278, 'иногд': 1.2628643221541278, 'психотерапевт': 3.2188758248682006}"
Врачебная практика,Врачебная практика (общая врачебная практика) — действия врача по проведению лечебных мероприятий и процедур.,"{'врачебн': 0.45814536593707755, 'практик': 0.7067545120666969, 'общ': 1.2628643221541278, 'действ': 1.2628643221541278, 'врач': 0.022686028283057925, 'проведен': 3.2188758248682006, 'лечебн': 1.2628643221541278, 'мероприят': 3.2188758248682006, 'процедур': 3.2188758248682006}","{'врачебн': 0.45814536593707755, 'практик': 0.7067545120666969, 'общ': 1.2628643221541278, 'действ': 1.2628643221541278, 'проведен': 3.2188758248682006, 'лечебн': 1.2628643221541278, 'мероприят': 3.2188758248682006, 'процедур': 3.2188758248682006}"
Санитар,"Санита́р (в женском роде санита́рка[1]) — младший медицинский работник (лицо низшего медицинского персонала[2]), выполняющий вспомогательные функции в медицинской практике, ранее человек ухаживающий за больными и ранеными на войне[3].","{'санит': 1.2628643221541278, 'р': 1.2628643221541278, 'женск': 3.2188758248682006, 'род': 0.7067545120666969, 'рка': 1.2628643221541278, '1': 0.07463459564271185, 'младш': 0.7067545120666969, 'медицинск': 0.041415606803781584, 'работник': 1.2628643221541278, 'лиц': 0.45814536593707755, 'низк': 3.2188758248682006, 'персона': 1.2628643221541278, '2': 0.3218875824868201, 'выполня': 3.2188758248682006, 'вспомогательн': 3.2188758248682006, 'функц': 1.2628643221541278, 'практик': 0.7067545120666969, 'ран': 3.2188758248682006, 'человек': 0.7067545120666969, 'ухажива': 3.2188758248682006, 'больн': 1.2628643221541278, 'ранен': 3.2188758248682006, 'войн': 3.2188758248682006, '3': 1.2628643221541278}","{'санит': 1.2628643221541278, 'р': 1.2628643221541278, 'женск': 3.2188758248682006, 'род': 0.7067545120666969, 'рка': 1.2628643221541278, '1': 0.07463459564271185, 'младш': 0.7067545120666969, 'медицинск': 0.041415606803781584, 'работник': 1.2628643221541278, 'лиц': 0.45814536593707755, 'низк': 3.2188758248682006, 'персона': 1.2628643221541278, '2': 0.3218875824868201, 'выполня': 3.2188758248682006, 'вспомогательн': 3.2188758248682006, 'функц': 1.2628643221541278, 'практик': 0.7067545120666969, 'ран': 3.2188758248682006, 'человек': 0.7067545120666969, 'ухажива': 3.2188758248682006, 'больн': 1.2628643221541278, 'ранен': 3.2188758248682006, 'войн': 3.2188758248682006, '3': 1.2628643221541278}"
Медицинская сестра,"Медици́нская сестра́ (медсестра́)[1] — специалист со средним специальным медицинским образованием в области сестринского дела. Медицинская сестра относится к среднему медицинскому персоналу, является младшим специалистом (это указано в дипломе медсестры) по отношению к специалисту — врачу.","{'медиц': 1.2628643221541278, 'нски': 1.2628643221541278, 'сестр': 3.2188758248682006, 'медсестр': 3.2188758248682006, '1': 0.07463459564271185, 'специалист': 0.041415606803781584, 'средн': 0.45814536593707755, 'специальн': 0.1424292853985456, 'медицинск': 0.041415606803781584, 'образован': 0.041415606803781584, 'област': 0.18185223940184106, 'сестринск': 3.2188758248682006, 'дел': 1.2628643221541278, 'относ': 3.2188758248682006, 'персона': 1.2628643221541278, 'явля': 0.3218875824868201, 'младш': 0.7067545120666969, 'эт': 0.7067545120666969, 'указыва': 3.2188758248682006, 'дипл': 1.2628643221541278, 'отношен': 3.2188758248682006, 'врач': 0.022686028283057925}","{'медиц': 1.2628643221541278, 'нски': 1.2628643221541278, 'сестр': 3.2188758248682006, 'медсестр': 3.2188758248682006, '1': 0.07463459564271185, 'специалист': 0.041415606803781584, 'средн': 0.45814536593707755, 'специальн': 0.1424292853985456, 'медицинск': 0.041415606803781584, 'образован': 0.041415606803781584, 'област': 0.18185223940184106, 'сестринск': 3.2188758248682006, 'дел': 1.2628643221541278, 'относ': 3.2188758248682006, 'персона': 1.2628643221541278, 'явля': 0.3218875824868201, 'младш': 0.7067545120666969, 'эт': 0.7067545120666969, 'указыва': 3.2188758248682006, 'дипл': 1.2628643221541278, 'отношен': 3.2188758248682006}"
Судебно-медицинский эксперт,"Суде́бно-медици́нский экспе́рт — врач, занимающий штатную должность в учреждениях судебно-медицинской экспертизы, прошедший обучение по специальности судебно-медицинская экспертиза и имеющий сертификат специалиста в данной области.","{'суд': 3.2188758248682006, 'бно': 3.2188758248682006, 'медиц': 1.2628643221541278, 'нски': 1.2628643221541278, 'эксп': 3.2188758248682006, 'рт': 3.2188758248682006, 'врач': 0.022686028283057925, 'занима': 0.2378527259400243, 'штатн': 3.2188758248682006, 'должност': 0.7067545120666969, 'учрежден': 1.2628643221541278, 'судебн': 1.2628643221541278, 'медицинск': 0.041415606803781584, 'экспертиз': 1.2628643221541278, 'проход': 0.7067545120666969, 'обучен': 1.2628643221541278, 'специальн': 0.1424292853985456, 'имет': 0.45814536593707755, 'сертификат': 3.2188758248682006, 'специалист': 0.041415606803781584, 'дан': 3.2188758248682006, 'област': 0.18185223940184106}","{'суд': 3.2188758248682006, 'бно': 3.2188758248682006, 'медиц': 1.2628643221541278, 'нски': 1.2628643221541278, 'эксп': 3.2188758248682006, 'рт': 3.2188758248682006, 'занима': 0.2378527259400243, 'штатн': 3.2188758248682006, 'должност': 0.7067545120666969, 'учрежден': 1.2628643221541278, 'судебн': 1.2628643221541278, 'медицинск': 0.041415606803781584, 'экспертиз': 1.2628643221541278, 'проход': 0.7067545120666969, 'обучен': 1.2628643221541278, 'специальн': 0.1424292853985456, 'имет': 0.45814536593707755, 'сертификат': 3.2188758248682006, 'специалист': 0.041415606803781584, 'дан': 3.2188758248682006, 'област': 0.18185223940184106}"
Врач,"Врач — человек, использующий свои навыки, знания и опыт в предупреждении и лечении заболеваний, поддержании нормальной жизнедеятельности организма человека. Во многих странах мира требуется разрешение местных органов власти на деятельность врача, либо соответствующая квалификация, незаконная же деятельность влечёт наказание. В России например, незаконная врачебная деятельность является уголовно наказуемым деянием, в случае если таковая стала причиной существенного вреда.[1] Врач — доктор, медик, также  лицо, получившее высшее медицинское образование по соответствующей специальности (кроме зубных врачей, имеющих средне-специальное медицинское образование (не путайте со стоматологами))[2][3][4][5].","{'врач': 0.022686028283057925, 'человек': 0.7067545120666969, 'использова': 1.2628643221541278, 'сво': 3.2188758248682006, 'навык': 1.2628643221541278, 'знан': 3.2188758248682006, 'оп': 3.2188758248682006, 'предупрежден': 3.2188758248682006, 'лечен': 0.18185223940184106, 'заболеван': 0.45814536593707755, 'поддержан': 1.2628643221541278, 'нормальн': 3.2188758248682006, 'жизнедеятельн': 3.2188758248682006, 'организм': 1.2628643221541278, 'мног': 1.2628643221541278, 'стран': 1.2628643221541278, 'мир': 3.2188758248682006, 'требова': 1.2628643221541278, 'разрешен': 3.2188758248682006, 'местн': 3.2188758248682006, 'орга': 3.2188758248682006, 'власт': 3.2188758248682006, 'деятельн': 3.2188758248682006, 'либ': 1.2628643221541278, 'соответств': 1.2628643221541278, 'квалификац': 1.2628643221541278, 'незакон': 3.2188758248682006, 'влеч': 3.2188758248682006, 'наказан': 3.2188758248682006, 'росс': 0.7067545120666969, 'например': 1.2628643221541278, 'врачебн': 0.45814536593707755, 'явля': 0.3218875824868201, 'уголовн': 3.2188758248682006, 'наказуем': 3.2188758248682006, 'деян': 3.2188758248682006, 'случа': 0.7067545120666969, 'есл': 3.2188758248682006, 'таков': 3.2188758248682006, 'станов': 3.2188758248682006, 'причин': 3.2188758248682006, 'существен': 3.2188758248682006, 'вред': 3.2188758248682006, '1': 0.07463459564271185, 'доктор': 3.2188758248682006, 'медик': 0.7067545120666969, 'такж': 1.2628643221541278, 'лиц': 0.45814536593707755, 'получа': 0.18185223940184106, 'высок': 0.18185223940184106, 'медицинск': 0.041415606803781584, 'образован': 0.041415606803781584, 'специальн': 0.1424292853985456, 'кром': 3.2188758248682006, 'зубн': 1.2628643221541278, 'имет': 0.45814536593707755, 'средн': 0.45814536593707755, 'пута': 0.7067545120666969, 'стоматолог': 1.2628643221541278, '2': 0.3218875824868201, '3': 1.2628643221541278, '4': 1.2628643221541278, '5': 3.2188758248682006}","{'человек': 0.7067545120666969, 'использова': 1.2628643221541278, 'сво': 3.2188758248682006, 'навык': 1.2628643221541278, 'знан': 3.2188758248682006, 'оп': 3.2188758248682006, 'предупрежден': 3.2188758248682006, 'лечен': 0.18185223940184106, 'заболеван': 0.45814536593707755, 'поддержан': 1.2628643221541278, 'нормальн': 3.2188758248682006, 'жизнедеятельн': 3.2188758248682006, 'организм': 1.2628643221541278, 'мног': 1.2628643221541278, 'стран': 1.2628643221541278, 'мир': 3.2188758248682006, 'требова': 1.2628643221541278, 'разрешен': 3.2188758248682006, 'местн': 3.2188758248682006, 'орга': 3.2188758248682006, 'власт': 3.2188758248682006, 'деятельн': 3.2188758248682006, 'либ': 1.2628643221541278, 'соответств': 1.2628643221541278, 'квалификац': 1.2628643221541278, 'незакон': 3.2188758248682006, 'влеч': 3.2188758248682006, 'наказан': 3.2188758248682006, 'росс': 0.7067545120666969, 'например': 1.2628643221541278, 'врачебн': 0.45814536593707755, 'явля': 0.3218875824868201, 'уголовн': 3.2188758248682006, 'наказуем': 3.2188758248682006, 'деян': 3.2188758248682006, 'случа': 0.7067545120666969, 'есл': 3.2188758248682006, 'таков': 3.2188758248682006, 'станов': 3.2188758248682006, 'причин': 3.2188758248682006, 'существен': 3.2188758248682006, 'вред': 3.2188758248682006, '1': 0.07463459564271185, 'доктор': 3.2188758248682006, 'медик': 0.7067545120666969, 'такж': 1.2628643221541278, 'лиц': 0.45814536593707755, 'получа': 0.18185223940184106, 'высок': 0.18185223940184106, 'медицинск': 0.041415606803781584, 'образован': 0.041415606803781584, 'специальн': 0.1424292853985456, 'кром': 3.2188758248682006, 'зубн': 1.2628643221541278, 'имет': 0.45814536593707755, 'средн': 0.45814536593707755, 'пута': 0.7067545120666969, 'стоматолог': 1.2628643221541278, '2': 0.3218875824868201, '3': 1.2628643221541278, '4': 1.2628643221541278, '5': 3.2188758248682006}"
Врач-ординатор,"Ордина́тор (от лат. Ordinator — приводящий в порядок, распорядитель), врач, занимающий должность в лечебно-профилактическом учреждении, заведующий палатами или отделением и занимающийся лечебной и профилактической работой.","{'ордин': 3.2188758248682006, 'тор': 3.2188758248682006, 'лат': 1.2628643221541278, 'ordinator': 3.2188758248682006, 'привод': 3.2188758248682006, 'порядок': 3.2188758248682006, 'распорядител': 3.2188758248682006, 'врач': 0.022686028283057925, 'занима': 0.2378527259400243, 'должност': 0.7067545120666969, 'лечебн': 1.2628643221541278, 'профилактическ': 3.2188758248682006, 'учрежден': 1.2628643221541278, 'завед': 3.2188758248682006, 'палат': 3.2188758248682006, 'ил': 0.11351680528133123, 'отделен': 3.2188758248682006, 'работ': 0.7067545120666969}","{'ордин': 3.2188758248682006, 'тор': 3.2188758248682006, 'лат': 1.2628643221541278, 'ordinator': 3.2188758248682006, 'привод': 3.2188758248682006, 'порядок': 3.2188758248682006, 'распорядител': 3.2188758248682006, 'занима': 0.2378527259400243, 'должност': 0.7067545120666969, 'лечебн': 1.2628643221541278, 'профилактическ': 3.2188758248682006, 'учрежден': 1.2628643221541278, 'завед': 3.2188758248682006, 'палат': 3.2188758248682006, 'ил': 0.11351680528133123, 'отделен': 3.2188758248682006, 'работ': 0.7067545120666969}"
